CANTIDAD,COD_PERIODO,IDPER,COD_UTP,ESTADO,FACULTAD
59,2007-2,3,12,MATRICULADO,Ingeniería
34,2006-2,4,12,MATRICULADO,Ingeniería
11,2006-1,8,37,MATRICULADO,Ingeniería
84,2009-2,0,12,MATRICULADO,Ingeniería
32,2006-2,6,36,NO MATRICULADO,Ingeniería
28,2006-1,4,36,NO MATRICULADO,Ingeniería
38,2006-2,1,37,MATRICULADO,Ingeniería
68,2006-1,0,37,MATRICULADO,Ingeniería
53,2007-1,2,12,MATRICULADO,Ingeniería
9,2008-2,24,37,GRADUADO,Ingeniería
46,2020-1,0,34,MATRICULADO,Ingeniería
14,2006-2,30,36,GRADUADO,Ingeniería
54,2012-1,18,34,NO MATRICULADO,Ingeniería
15,2020-1,3,47,NO MATRICULADO,Ingeniería
34,2011-1,20,12,GRADUADO,Ingeniería
55,2009-2,23,37,NO MATRICULADO,Ingeniería
66,2007-1,28,37,NO MATRICULADO,Ingeniería
18,2016-2,10,FI,NO MATRICULADO,Ingeniería
11,2016-2,10,47,GRADUADO,Ingeniería
7,2013-1,14,AY,NO MATRICULADO,Ingeniería
8,2012-2,15,28,MATRICULADO,Ingeniería
53,2016-1,10,34,NO MATRICULADO,Ingeniería
65,2012-1,16,37,NO MATRICULADO,Ingeniería
60,2018-2,4,12,MATRICULADO,Ingeniería
36,2014-1,14,28,GRADUADO,Ingeniería
62,2006-1,23,37,NO MATRICULADO,Ingeniería
99,2017-1,0,28,MATRICULADO,Ingeniería
56,2011-2,13,37,NO MATRICULADO,Ingeniería
6,2011-1,14,47,NO MATRICULADO,Ingeniería
31,2016-2,1,37,NO MATRICULADO,Ingeniería
49,2014-1,9,12,MATRICULADO,Ingeniería
55,2010-1,16,34,NO MATRICULADO,Ingeniería
63,2009-1,18,37,NO MATRICULADO,Ingeniería
37,2015-2,7,37,NO MATRICULADO,Ingeniería
49,2013-1,8,12,MATRICULADO,Ingeniería
56,2017-1,1,34,MATRICULADO,Ingeniería
62,2006-1,25,37,NO MATRICULADO,Ingeniería
51,2014-1,7,34,NO MATRICULADO,Ingeniería
26,2013-2,8,37,NO MATRICULADO,Ingeniería
10,2008-2,21,12,MATRICULADO,Ingeniería
54,2010-2,18,37,NO MATRICULADO,Ingeniería
1,2010-1,19,34,MATRICULADO,Ingeniería
28,2006-1,26,34,GRADUADO,Ingeniería
3,2015-1,6,47,GRADUADO,Ingeniería
65,2017-2,2,12,MATRICULADO,Ingeniería
54,2008-1,12,37,NO MATRICULADO,Ingeniería
6,2014-2,1,28,NO MATRICULADO,Ingeniería
48,2007-1,16,36,NO MATRICULADO,Ingeniería
38,2012-1,6,28,MATRICULADO,Ingeniería
48,2012-1,6,12,MATRICULADO,Ingeniería
66,2010-1,13,37,NO MATRICULADO,Ingeniería
56,2010-1,10,36,NO MATRICULADO,Ingeniería
14,2008-1,17,36,GRADUADO,Ingeniería
1,2009-2,11,47,NO MATRICULADO,Ingeniería
70,2015-2,1,28,MATRICULADO,Ingeniería
14,2014-2,2,12,NO MATRICULADO,Ingeniería
10,2008-1,13,36,MATRICULADO,Ingeniería
59,2008-1,18,37,NO MATRICULADO,Ingeniería
59,2011-2,9,28,NO MATRICULADO,Ingeniería
43,2011-1,10,36,NO MATRICULADO,Ingeniería
16,2013-2,6,36,NO MATRICULADO,Ingeniería
45,2013-2,6,12,MATRICULADO,Ingeniería
26,2007-2,16,12,GRADUADO,Ingeniería
62,2008-1,2,12,MATRICULADO,Ingeniería
8,2014-2,14,47,GRADUADO,Ingeniería
56,2012-2,18,28,NO MATRICULADO,Ingeniería
50,2006-2,9,28,NO MATRICULADO,Ingeniería
1,2012-1,0,DV,MATRICULADO,Ingeniería
36,2007-2,12,12,NO MATRICULADO,Ingeniería
39,2009-1,3,28,NO MATRICULADO,Ingeniería
54,2007-2,12,37,NO MATRICULADO,Ingeniería
20,2007-1,1,34,NO MATRICULADO,Ingeniería
56,2007-1,1,34,MATRICULADO,Ingeniería
29,2006-2,2,37,MATRICULADO,Ingeniería
30,2006-2,8,28,MATRICULADO,Ingeniería
51,2007-1,10,34,NO MATRICULADO,Ingeniería
83,2010-1,0,12,MATRICULADO,Ingeniería
74,2010-1,0,34,MATRICULADO,Ingeniería
32,2008-1,4,34,MATRICULADO,Ingeniería
36,2007-1,6,12,MATRICULADO,Ingeniería
19,2021-1,1,12,NO MATRICULADO,Ingeniería
10,2006-2,7,37,MATRICULADO,Ingeniería
18,2008-2,2,12,NO MATRICULADO,Ingeniería
54,2006-2,13,28,NO MATRICULADO,Ingeniería
35,2007-2,8,12,NO MATRICULADO,Ingeniería
43,2017-1,8,34,NO MATRICULADO,Ingeniería
8,2015-2,11,37,MATRICULADO,Ingeniería
10,2017-2,5,FI,MATRICULADO,Ingeniería
46,2017-2,5,12,MATRICULADO,Ingeniería
39,2007-2,24,12,GRADUADO,Ingeniería
36,2013-1,16,28,GRADUADO,Ingeniería
47,2016-1,8,12,MATRICULADO,Ingeniería
54,2012-1,18,28,NO MATRICULADO,Ingeniería
63,2009-1,22,37,NO MATRICULADO,Ingeniería
40,2015-2,10,28,NO MATRICULADO,Ingeniería
14,2019-1,1,47,MATRICULADO,Ingeniería
57,2018-1,3,12,MATRICULADO,Ingeniería
63,2021-1,0,37,MATRICULADO,Ingeniería
38,2020-2,0,34,MATRICULADO,Ingeniería
2,2020-2,1,AY,NO MATRICULADO,Ingeniería
23,2020-1,1,TS,MATRICULADO,Ingeniería
30,2009-1,23,28,GRADUADO,Ingeniería
28,2018-2,5,12,NO MATRICULADO,Ingeniería
38,2014-1,7,37,NO MATRICULADO,Ingeniería
69,2017-2,1,12,MATRICULADO,Ingeniería
33,2006-2,21,36,NO MATRICULADO,Ingeniería
11,2017-2,2,FI,NO MATRICULADO,Ingeniería
63,2008-1,19,34,NO MATRICULADO,Ingeniería
36,2016-2,1,37,MATRICULADO,Ingeniería
26,2016-1,6,12,NO MATRICULADO,Ingeniería
46,2007-1,22,36,NO MATRICULADO,Ingeniería
40,2017-2,0,34,MATRICULADO,Ingeniería
18,2013-1,12,28,GRADUADO,Ingeniería
37,2010-1,17,28,NO MATRICULADO,Ingeniería
49,2012-2,13,37,NO MATRICULADO,Ingeniería
59,2016-1,3,12,MATRICULADO,Ingeniería
50,2007-2,22,28,NO MATRICULADO,Ingeniería
61,2008-2,14,37,NO MATRICULADO,Ingeniería
12,2008-1,15,36,GRADUADO,Ingeniería
54,2006-2,17,28,NO MATRICULADO,Ingeniería
53,2015-1,2,28,MATRICULADO,Ingeniería
76,2014-1,1,12,MATRICULADO,Ingeniería
22,2007-2,14,12,GRADUADO,Ingeniería
67,2013-1,3,28,MATRICULADO,Ingeniería
45,2009-1,8,12,MATRICULADO,Ingeniería
11,2010-1,12,47,NO MATRICULADO,Ingeniería
63,2009-1,14,37,NO MATRICULADO,Ingeniería
43,2008-2,12,28,NO MATRICULADO,Ingeniería
14,2010-1,8,37,MATRICULADO,Ingeniería
55,2014-1,5,12,MATRICULADO,Ingeniería
4,2013-2,6,47,NO MATRICULADO,Ingeniería
29,2006-1,19,28,GRADUADO,Ingeniería
59,2006-1,19,34,NO MATRICULADO,Ingeniería
78,2015-1,0,34,MATRICULADO,Ingeniería
47,2011-1,11,28,NO MATRICULADO,Ingeniería
66,2014-1,2,28,MATRICULADO,Ingeniería
65,2007-1,14,37,NO MATRICULADO,Ingeniería
23,2012-2,2,37,MATRICULADO,Ingeniería
34,2011-1,8,28,MATRICULADO,Ingeniería
42,2010-2,6,28,MATRICULADO,Ingeniería
62,2006-1,21,37,NO MATRICULADO,Ingeniería
44,2010-2,10,28,NO MATRICULADO,Ingeniería
4,2009-1,12,AZ,NO MATRICULADO,Ingeniería
43,2009-1,6,12,MATRICULADO,Ingeniería
78,2006-1,0,12,MATRICULADO,Ingeniería
84,2011-2,0,12,MATRICULADO,Ingeniería
14,2006-1,7,37,MATRICULADO,Ingeniería
31,2006-1,7,34,MATRICULADO,Ingeniería
61,2012-1,1,34,MATRICULADO,Ingeniería
3,2015-1,13,DV,GRADUADO,Ingeniería
42,2007-2,2,36,NO MATRICULADO,Ingeniería
27,2007-1,8,34,MATRICULADO,Ingeniería
34,2006-2,9,12,MATRICULADO,Ingeniería
58,2011-1,2,37,NO MATRICULADO,Ingeniería
39,2009-2,2,37,NO MATRICULADO,Ingeniería
24,2009-1,3,36,MATRICULADO,Ingeniería
66,2007-2,0,37,MATRICULADO,Ingeniería
44,2008-2,26,28,NO MATRICULADO,Ingeniería
12,2019-1,1,TS,NO MATRICULADO,Ingeniería
52,2012-1,18,36,NO MATRICULADO,Ingeniería
56,2011-1,19,34,NO MATRICULADO,Ingeniería
32,2019-1,0,TS,MATRICULADO,Ingeniería
45,2011-1,20,36,NO MATRICULADO,Ingeniería
13,2018-2,1,FI,NO MATRICULADO,Ingeniería
17,2016-2,5,34,MATRICULADO,Ingeniería
30,2017-1,1,28C,MATRICULADO,Ingeniería
36,2012-1,8,28,MATRICULADO,Ingeniería
21,2017-2,1,28,NO MATRICULADO,Ingeniería
47,2013-1,9,12,MATRICULADO,Ingeniería
31,2010-1,15,12,GRADUADO,Ingeniería
27,2017-1,3,12,NO MATRICULADO,Ingeniería
45,2012-1,12,12,NO MATRICULADO,Ingeniería
43,2011-1,14,12,NO MATRICULADO,Ingeniería
49,2012-1,9,36,NO MATRICULADO,Ingeniería
45,2010-2,12,28,NO MATRICULADO,Ingeniería
32,2008-1,20,28,GRADUADO,Ingeniería
42,2012-2,4,37,NO MATRICULADO,Ingeniería
