ESTADO,PERBASE,COD_PERIODO,COD_UTP,NIVEL,SUBNIVEL,FACULTAD,NOMBRE,DURACION_SEMESTRES,PERIODOS,CANTIDAD
3. Cambio de programa,10,2010-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,102 a 111,6
2. Permanece programa,12,2011-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,112 a 121,194
1. No matriculado,14,2012-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,122 a 131,23
3. Cambio de programa,16,2013-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,132 a 141,2
1. No matriculado,18,2014-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,142 a 151,23
2. Permanece programa,19,2015-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,151 a 152,59
2. Permanece programa,19,2015-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,151 a 152,24
3. Cambio de programa,22,2016-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,162 a 171,5
1. No matriculado,23,2017-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,171 a 172,56
2. Permanece programa,23,2017-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,171 a 172,32
1. No matriculado,23,2017-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,171 a 172,52
1. No matriculado,24,2017-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,172 a 181,19
2. Permanece programa,25,2018-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,181 a 182,31
1. No matriculado,25,2018-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,181 a 182,13
1. No matriculado,26,2018-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,182 a 191,10
2. Permanece programa,26,2018-2,FV12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica (Básicos ingeniería),10,182 a 191,12
1. No matriculado,26,2018-2,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,182 a 191,2
4. Graduado,27,2019-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,191 a 192,105
1. No matriculado,28,2019-2,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,192 a 201,3
1. No matriculado,29,2020-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,201 a 202,9
4. Graduado,1,2006-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,061 a 062,52
2. Permanece programa,2,2006-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,062 a 071,38
1. No matriculado,2,2006-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,062 a 071,41
1. No matriculado,3,2007-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,071 a 072,39
1. No matriculado,4,2007-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,072 a 081,26
1. No matriculado,5,2008-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,081 a 082,74
3. Cambio de programa,8,2009-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,092 a 101,13
2. Permanece programa,9,2010-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,101 a 102,198
4. Graduado,9,2010-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,101 a 102,5
2. Permanece programa,10,2010-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,102 a 111,43
4. Graduado,12,2011-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,112 a 121,66
4. Graduado,12,2011-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,112 a 121,3
2. Permanece programa,14,2012-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,122 a 131,202
1. No matriculado,15,2013-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,131 a 132,60
3. Cambio de programa,15,2013-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,131 a 132,20
4. Graduado,16,2013-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,132 a 141,24
1. No matriculado,17,2014-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,141 a 142,105
1. No matriculado,20,2015-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,152 a 161,41
2. Permanece programa,21,2016-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,161 a 162,35
4. Graduado,22,2016-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,162 a 171,12
2. Permanece programa,24,2017-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,172 a 181,40
2. Permanece programa,26,2018-2,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,182 a 191,35
3. Cambio de programa,26,2018-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,182 a 191,5
2. Permanece programa,27,2019-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,191 a 192,775
2. Permanece programa,28,2019-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,192 a 201,301
2. Permanece programa,28,2019-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,192 a 201,69
2. Permanece programa,29,2020-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,201 a 202,809
1. No matriculado,29,2020-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,201 a 202,20
2. Permanece programa,29,2020-1,AT,Posgrado,Especialización,Ingeniería,Especialización en Electrónica Digital,2,201 a 202,5
2. Permanece programa,30,2020-2,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,202 a 211,211
3. Cambio de programa,30,2020-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,202 a 211,6
2. Permanece programa,31,2021-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,211 a 212,36
4. Graduado,16,2013-2,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,132 a 141,3
2. Permanece programa,17,2014-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,141 a 142,851
1. No matriculado,17,2014-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,141 a 142,1
3. Cambio de programa,19,2015-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,151 a 152,16
1. No matriculado,19,2015-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,151 a 152,18
3. Cambio de programa,19,2015-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,151 a 152,1
1. No matriculado,20,2015-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,152 a 161,7
1. No matriculado,1,2006-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,061 a 062,50
3. Cambio de programa,1,2006-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,061 a 062,12
3. Cambio de programa,1,2006-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,061 a 062,6
4. Graduado,2,2006-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,062 a 071,22
3. Cambio de programa,4,2007-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,072 a 081,7
2. Permanece programa,5,2008-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,081 a 082,488
3. Cambio de programa,5,2008-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,081 a 082,14
1. No matriculado,7,2009-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,091 a 092,71
4. Graduado,7,2009-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,091 a 092,86
2. Permanece programa,8,2009-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,092 a 101,547
1. No matriculado,8,2009-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,092 a 101,57
2. Permanece programa,10,2010-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,102 a 111,559
2. Permanece programa,22,2016-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,162 a 171,628
4. Graduado,23,2017-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,171 a 172,28
2. Permanece programa,25,2018-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,181 a 182,812
4. Graduado,25,2018-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,181 a 182,74
4. Graduado,25,2018-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,181 a 182,21
1. No matriculado,25,2018-1,FV34,Pregrado,Profesional,Ingeniería,Ingeniería Física (Básicos ingenieria),10,181 a 182,1
4. Graduado,29,2020-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,201 a 202,53
2. Permanece programa,30,2020-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,202 a 211,268
2. Permanece programa,3,2007-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,071 a 072,54
2. Permanece programa,4,2007-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,072 a 081,153
3. Cambio de programa,8,2009-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,092 a 101,7
3. Cambio de programa,8,2009-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,092 a 101,6
4. Graduado,8,2009-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,092 a 101,8
4. Graduado,8,2009-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,092 a 101,5
1. No matriculado,12,2011-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,112 a 121,74
2. Permanece programa,12,2011-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,112 a 121,35
1. No matriculado,12,2011-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,112 a 121,82
3. Cambio de programa,12,2011-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,112 a 121,8
1. No matriculado,15,2013-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,131 a 132,32
2. Permanece programa,16,2013-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,132 a 141,229
2. Permanece programa,17,2014-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,141 a 142,595
4. Graduado,18,2014-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,142 a 151,6
2. Permanece programa,19,2015-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,151 a 152,24
2. Permanece programa,20,2015-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,152 a 161,215
1. No matriculado,20,2015-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,152 a 161,40
2. Permanece programa,22,2016-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,162 a 171,30
