NombreProgramaAcademico,CodigoSNIES,DuracionEnSemestres,ResolucionRegistroCalificado,FechaInicioRC,DuracionRCAños,FechaFinalizacionRC,Acreditable,AcreditadoAltaCalidad,ResolucionAC,DuracionACAños,AcreditacionInternacionalAI,FechaInicioAI,DuracionAIAños,Año
Doctorado en Ingeniería,90949,7,012606 DEL 03-AGO-2018,08/08/18,7,09/08/25,No,No,,,No,,,2021
Especialización en Redes de Datos,54220,2,7437 DEL 14-JUN-2013 (RC con fecha de finalización extendida por decreto 1330 de 2019),14/06/13,8.5,15/12/21,No,No,,,No,,,2021
Maestría en Ingeniería Eléctrica,5329,4,009944 DEL 17-JUN-2020,17/06/20,7,18/06/27,Si,Si,003146 DEL 01-MAR-2021,8,EUR-ACE,20-dic-18,4,2021
Maestría en Ingeniería de Sistemas y Computación,54928,4,08435 DEL 28-ABR-2016,28/04/16,7,29/04/23,Si,No,,,EUR-ACE,20-dic-18,3,2021
Ingeniería Electrónica (Diurna),13090,10,04841 DEL 14-MAR-2016,14/03/16,7,15/03/23,Si,No,,,No,,,2021
Ingeniería Eléctrica,270,10,08083 DEL 07-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 11956 del 16-JUN-2016),16/06/16,7,17/06/23,Si,Si,11956 DEL 16-JUN-2016,6,EUR-ACE,20-dic-18,4,2021
Ingeniería Física,4093,10,08054 DEL 17-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 18212 del 13-SEP-2017),13/09/17,7,14/09/24,Si,Si,18212 DEL 13-SEP-2017,6,No,,,2021
Ingeniería de Sistemas y Computación,269,10,29805 DEL 29-DIC-2017,29/12/17,7,30/12/24,Si,Si,16816 DEL 19-AGO-2016 (,5,No,,,2021
Tecnología en Desarrollo de Software,106090,6,149 DEL 16-ENE-2017,16/01/17,7,17/01/24,No,No,,,No,,,2021
Doctorado en Ingeniería,90949,7,012606 DEL 03-AGO-2018,08/08/18,7,09/08/25,No,No,,,No,,,2020
Especialización en Electrónica Digital,54219,2,7436 DEL 14-JUN-2013 (RC con fecha de finalización extendida por decreto 1330 de 2019),14/06/13,8.5,15/12/21,No,No,,,No,,,2020
Especialización en Redes de Datos,54220,2,7437 DEL 14-JUN-2013 (RC con fecha de finalización extendida por decreto 1330 de 2019),14/06/13,8.5,15/12/21,No,No,,,No,,,2020
Maestría en Ingeniería Eléctrica,5329,4,009944 DEL 17-JUN-2020,17/06/20,7,18/06/27,Si,Vencido,3229 DEL 05-ABR-2013,6,EUR-ACE,20-dic-18,4,2020
Maestría en Ingeniería de Sistemas y Computación,54928,4,08435 DEL 28-ABR-2016,28/04/16,7,29/04/23,Si,No,,,EUR-ACE,20-dic-18,3,2020
Ingeniería Electrónica (Diurna),13090,10,04841 DEL 14-MAR-2016,14/03/16,7,15/03/23,Si,No,,,No,,,2020
Ingeniería Eléctrica,270,10,08083 DEL 07-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 11956 del 16-JUN-2016),16/06/16,7,17/06/23,Si,Si,11956 DEL 16-JUN-2016,6,EUR-ACE,20-dic-18,4,2020
Ingeniería Física,4093,10,08054 DEL 17-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 18212 del 13-SEP-2017),13/09/17,7,14/09/24,Si,Si,18212 DEL 13-SEP-2017,6,No,,,2020
Ingeniería de Sistemas y Computación,269,10,29805 DEL 29-DIC-2017,29/12/17,7,30/12/24,Si,Si,16816 DEL 19-AGO-2016 (,5,No,,,2020
Tecnología en Desarrollo de Software,106090,6,149 DEL 16-ENE-2017,16/01/17,7,17/01/24,No,No,,,No,,,2020
Doctorado en Ingeniería,90949,7,012606 DEL 03-AGO-2018,08/08/18,7,09/08/25,No,No,,,No,,,2019
Especialización en Electrónica Digital,54219,2,7436 DEL 14-JUN-2013,14/06/13,7,15/06/20,No,No,,,No,,,2019
Especialización en Redes de Datos,54220,2,7437 DEL 14-JUN-2013,14/06/13,7,15/06/20,No,No,,,No,,,2019
Maestría en Ingeniería Eléctrica,5329,4,5348 DEL 10-MAY-2013,10/05/13,7,11/05/20,Si,Vencido,3229 DEL 05-ABR-2013,6,EUR-ACE,20-dic-18,4,2019
Maestría en Ingeniería de Sistemas y Computación,54928,4,08435 DEL 28-ABR-2016,28/04/16,7,29/04/23,No,No,,,EUR-ACE,20-dic-18,3,2019
Ingeniería Electrónica (Diurna),13090,10,04841 DEL 14-MAR-2016,14/03/16,7,15/03/23,Si,No,,,No,,,2019
Ingeniería Eléctrica,270,10,08083 DEL 07-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 11956 del 16-JUN-2016),16/06/16,7,17/06/23,Si,Si,11956 DEL 16-JUN-2016,6,EUR-ACE,20-dic-18,4,2019
Ingeniería Física,4093,10,08054 DEL 17-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 18212 del 13-SEP-2017),13/09/17,7,14/09/24,Si,Si,18212 DEL 13-SEP-2017,6,No,,,2019
Ingeniería de Sistemas y Computación,269,10,29805 DEL 29-DIC-2017,29/12/17,7,30/12/24,Si,Si,16816 DEL 19-AGO-2016,4,No,,,2019
Tecnología en Desarrollo de Software,106090,6,149 DEL 16-ENE-2017,16/01/17,7,17/01/24,No,No,,,No,,,2019
Doctorado en Ingeniería,90949,7,012606 DEL 03-AGO-2018,08/08/18,7,09/08/25,No,No,,,No,,,2018
Especialización en Redes de Datos,54220,2,7437 DEL 14-JUN-2013,14/06/13,7,15/06/20,No,No,,,No,,,2018
Maestría en Ingeniería Eléctrica,5329,4,5348 DEL 10-MAY-2013,10/05/13,7,11/05/20,Si,Si,3229 DEL 05-ABR-2013,6,No,,,2018
Maestría en Ingeniería de Sistemas y Computación,54928,4,08435 DEL 28-ABR-2016,28/04/16,7,29/04/23,No,No,,,No,,,2018
Ingeniería Electrónica (Diurna),13090,10,04841 DEL 14-MAR-2016,14/03/16,7,15/03/23,Si,No,,,No,,,2018
Ingeniería Eléctrica,270,10,08083 DEL 07-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 11956 del 16-JUN-2016),16/06/16,7,17/06/23,Si,Si,11956 DEL 16-JUN-2016,6,No,,,2018
Ingeniería Física,4093,10,08054 DEL 17-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 18212 del 13-SEP-2017),13/09/17,7,14/09/24,Si,Si,18212 DEL 13-SEP-2017,6,No,,,2018
Ingeniería de Sistemas y Computación,269,10,29805 DEL 29-DIC-2017,29/12/17,7,30/12/24,Si,Si,16816 DEL 19-AGO-2016,4,No,,,2018
Doctorado en Ingeniería,90949,7,11169 DEL 20-DIC-2010,20/12/10,7,21/12/17,No,No,,,No,,,2017
Especialización en Redes de Datos,54220,2,7437 DEL 14-JUN-2013,14/06/13,7,15/06/20,No,No,,,No,,,2017
Maestría en Ingeniería Eléctrica,5329,4,5348 DEL 10-MAY-2013,10/05/13,7,11/05/20,Si,Si,3229 DEL 05-ABR-2013,6,No,,,2017
Maestría en Ingeniería de Sistemas y Computación,54928,4,08435 DEL 28-ABR-2016,28/04/16,7,29/04/23,No,No,,,No,,,2017
Ingeniería Electrónica (Diurna),13090,10,04841 DEL 14-MAR-2016,14/03/16,7,15/03/23,Si,No,,,No,,,2017
Ingeniería Eléctrica,270,10,11109 DEL 11-SEPT-2012,11/09/12,7,12/09/19,Si,Si,11956 DEL 16-JUN-2016,6,No,,,2017
Ingeniería Física,4093,10,10959 DEL 11-SEP-2012,11/09/12,7,12/09/19,Si,Si,18212 DEL 13-SEP-2017,6,No,,,2017
Ingeniería de Sistemas y Computación,269,10,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",22/12/10,7,23/12/17,Si,Si,16816 DEL 19-AGO-2016,4,No,,,2017
Doctorado en Ingeniería,90949,7,11169 DEL 20-DIC-2010,20/12/10,7,21/12/17,No,No,,,No,,,2016
Maestría en Ingeniería Eléctrica,5329,4,5348 DEL 10-MAY-2013,10/05/13,7,11/05/20,Si,Si,3229 DEL 05-ABR-2013,6,No,,,2016
Maestría en Ingeniería de Sistemas y Computación,54928,4,08435 DEL 28-ABR-2016,28/04/16,7,29/04/23,No,No,,,No,,,2016
Ingeniería Electrónica (Diurna),13090,10,04841 DEL 14-MAR-2016,14/03/16,7,15/03/23,Si,No,,,No,,,2016
Ingeniería Eléctrica,270,10,11109 DEL 11-SEP-2012,11/09/12,7,12/09/19,Si,Si,11956 DEL 16-JUN-2016,6,No,,,2016
Ingeniería Física,4093,10,5733 DEL 13-JUL-2011,13/07/11,7,14/07/18,Si,Si,9886 DEL 22-AGO-2012,4,No,,,2016
Ingeniería de Sistemas y Computación,269,10,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",22/12/10,7,23/12/17,Si,Si,16816 DEL 19-AGO-2016,4,No,,,2016
Doctorado en Ingeniería,90949,7,11169 DEL 20-DIC-2010,20/12/10,7,21/12/17,No,No,,,No,,,2015
Especialización en Redes de Datos,54220,2,7437 DEL 14-JUN-2013,14/06/13,7,15/06/20,No,No,,,No,,,2015
Maestría en Ingeniería Eléctrica,5329,4,5348 DEL 10-MAY-2013,10/05/13,7,11/05/20,Si,Si,3229 DEL 05-ABR-2013,6,No,,,2015
Maestría en Ingeniería de Sistemas y Computación,54928,4,7520 DEL 16-OCT-2009,16/10/09,7,17/10/16,No,No,,,No,,,2015
Ingeniería Electrónica (Nocturno),13090,12,8460 DEL 28-OCT-2009,26/11/09,7,27/11/16,Si,No,,,No,,,2015
Ingeniería Eléctrica,270,10,11109 DEL 11-SEP-2012,11/09/12,7,12/09/19,Si,No,,,No,,,2015
Ingeniería Física,4093,10,5733 DEL 13-JUL-2011,13/07/11,7,14/07/18,Si,Si,9886 DEL 22-AGO-2012,4,No,,,2015
Ingeniería de Sistemas y Computación,269,10,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",22/12/10,7,23/12/17,Si,No,,,No,,,2015
Doctorado en Ingeniería,90949,7,11169 DEL 20-DIC-2010,20/12/10,7,21/12/17,No,No,,,No,,,2014
Especialización en Redes de Datos,54220,2,7437 DEL 14-JUN-2013,14/06/13,7,15/06/20,No,No,,,No,,,2014
Maestría en Ingeniería Eléctrica,5329,4,5348 DEL 10-MAY-2013,10/05/13,7,11/05/20,Si,Si,3229 DEL 05-ABR-2013,6,No,,,2014
Maestría en Ingeniería de Sistemas y Computación,54928,4,7520 DEL 16-OCT-2009,16/10/09,7,17/10/16,No,No,,,No,,,2014
Ingeniería Electrónica (Nocturno),13090,12,"8460 DEL 28-OCT-2009 (La vigencia de la resolución cuenta a partir del ""26-NOV-2009"")",26/11/09,7,27/11/16,Si,No,,,No,,,2014
Ingeniería Eléctrica,270,10,11109 DEL 11-SEP-2012,11/09/12,7,12/09/19,Si,No,,,No,,,2014
Ingeniería Física,4093,10,5733 DEL 13-JUL-2011,13/07/11,7,14/07/18,Si,Si,9886 DEL 22-AGO-2012,4,No,,,2014
Ingeniería de Sistemas y Computación,269,10,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",22/12/10,7,23/12/17,Si,Si,12268 DEL 22-DIC-2010,4,No,,,2014
