Programa,Oficial,Privado,SinInformacion,Semestre
Ingeniería Electrónica (Nocturno),251,87,1,2010-1
Ingeniería Eléctrica,627,130,1,2010-1
Ingeniería Física,207,56,1,2010-1
Ingeniería de Sistemas y Computación,536,148,,2010-1
Ingeniería de Sistemas y Computación (Nocturno),230,67,1,2010-1
Ingeniería Electrónica (Nocturno),262,68,1,2010-2
Ingeniería Eléctrica,625,132,1,2010-2
Ingeniería Física,175,44,1,2010-2
Ingeniería de Sistemas y Computación,528,134,,2010-2
Ingeniería de Sistemas y Computación (Nocturno),221,64,1,2010-2
Ingeniería Electrónica (Nocturno),249,74,,2011-1
Ingeniería Eléctrica,640,127,1,2011-1
Ingeniería Física,223,50,1,2011-1
Ingeniería de Sistemas y Computación,562,134,1,2011-1
Ingeniería de Sistemas y Computación (Nocturno),229,79,1,2011-1
Ingeniería Electrónica (Nocturno),246,82,,2011-2
Ingeniería Eléctrica,676,132,,2011-2
Ingeniería Física,190,37,1,2011-2
Ingeniería de Sistemas y Computación,569,138,,2011-2
Ingeniería de Sistemas y Computación (Nocturno),241,61,1,2011-2
Ingeniería Electrónica (Nocturno),229,69,1,2012-1
Ingeniería Eléctrica,670,131,,2012-1
Ingeniería Física,249,47,1,2012-1
Ingeniería de Sistemas y Computación,545,112,,2012-1
Ingeniería de Sistemas y Computación (Nocturno),216,65,,2012-1
Ingeniería Electrónica (Nocturno),224,68,,2012-2
Ingeniería Eléctrica,726,143,,2012-2
Ingeniería Física,207,38,1,2012-2
Ingeniería de Sistemas y Computación,551,108,,2012-2
Ingeniería de Sistemas y Computación (Nocturno),215,64,,2012-2
Ingeniería Electrónica (Nocturno),219,71,,2013-1
Ingeniería Eléctrica,753,149,,2013-1
Ingeniería Física,253,49,1,2013-1
Ingeniería de Sistemas y Computación,578,111,,2013-1
Ingeniería de Sistemas y Computación (Nocturno),225,60,,2013-1
Ingeniería Electrónica (Nocturno),196,68,,2013-2
Ingeniería Eléctrica,774,141,,2013-2
Ingeniería Física,211,37,,2013-2
Ingeniería de Sistemas y Computación,566,117,,2013-2
Ingeniería de Sistemas y Computación (Nocturno),218,58,,2013-2
Ingeniería Electrónica (Nocturno),225,67,,2014-1
Ingeniería Eléctrica,861,152,,2014-1
Ingeniería Física,288,45,,2014-1
Ingeniería de Sistemas y Computación,624,113,,2014-1
Ingeniería de Sistemas y Computación (Nocturno),225,65,,2014-1
Ingeniería Electrónica (Nocturno),185,52,,2014-2
Ingeniería Eléctrica,837,142,,2014-2
Ingeniería Física,243,37,,2014-2
Ingeniería de Sistemas y Computación,598,114,,2014-2
Ingeniería de Sistemas y Computación (Nocturno),206,50,,2014-2
Ingeniería Electrónica (Nocturno),236,66,,2015-1
Ingeniería Eléctrica,847,144,,2015-1
Ingeniería Física,279,44,,2015-1
Ingeniería de Sistemas y Computación,613,102,,2015-1
Ingeniería de Sistemas y Computación (Nocturno),230,74,,2015-1
Ingeniería Electrónica (Nocturno),229,54,,2015-2
Ingeniería Eléctrica,853,144,,2015-2
Ingeniería Física,263,37,,2015-2
Ingeniería de Sistemas y Computación,609,101,,2015-2
Ingeniería de Sistemas y Computación (Nocturno),224,69,,2015-2
Ingeniería Electrónica (Nocturno),235,56,,2016-1
Ingeniería Eléctrica,865,141,1,2016-1
Ingeniería Física,314,37,,2016-1
Ingeniería de Sistemas y Computación,628,119,,2016-1
Ingeniería de Sistemas y Computación (Nocturno),234,64,,2016-1
Ingeniería Electrónica (Diurna),20,3,,2016-2
Ingeniería Electrónica (Nocturno),179,47,,2016-2
