ID,Programa,-17,"mas 17, menos 22",22,23,24,25,26-30,31+,AÑO
1,Ingeniería Electrónica (Nocturno),,,,,,,110,229,2010-1
2,Ingeniería Eléctrica,1,,,,,,285,472,2010-1
3,Ingeniería Física,,,1,,,,140,123,2010-1
4,Ingeniería de Sistemas y Computación,,,,,,,277,407,2010-1
5,Ingeniería de Sistemas y Computación (Nocturno),1,,,1,,,80,216,2010-1
6,Ingeniería Electrónica (Nocturno),,,,,1,,104,226,2010-2
7,Ingeniería Eléctrica,1,,,,,,314,443,2010-2
8,Ingeniería Física,,,1,,,,116,103,2010-2
9,Ingeniería de Sistemas y Computación,,,,,,,302,360,2010-2
10,Ingeniería de Sistemas y Computación (Nocturno),1,,,,,,68,217,2010-2
11,Ingeniería Electrónica (Nocturno),,,,,1,,125,197,2011-1
12,Ingeniería Eléctrica,,,,,,3,366,399,2011-1
13,Ingeniería Física,,,1,,1,1,172,99,2011-1
14,Ingeniería de Sistemas y Computación,,,,,,5,361,331,2011-1
15,Ingeniería de Sistemas y Computación (Nocturno),1,,,,,1,91,216,2011-1
16,Ingeniería Electrónica (Nocturno),,,,,,1,138,189,2011-2
17,Ingeniería Eléctrica,,,,,,5,429,374,2011-2
18,Ingeniería Física,,,,,1,1,145,81,2011-2
19,Ingeniería de Sistemas y Computación,,,,,,7,411,289,2011-2
20,Ingeniería de Sistemas y Computación (Nocturno),1,,,,,,92,210,2011-2
21,Ingeniería Electrónica (Nocturno),,,,,,8,138,153,2012-1
22,Ingeniería Eléctrica,,,,,,35,454,312,2012-1
23,Ingeniería Física,,,,,1,31,191,74,2012-1
24,Ingeniería de Sistemas y Computación,,,,,,30,418,209,2012-1
25,Ingeniería de Sistemas y Computación (Nocturno),,,,,,8,105,168,2012-1
26,Ingeniería Electrónica (Nocturno),,,,,1,6,141,144,2012-2
27,Ingeniería Eléctrica,,,,,3,50,505,311,2012-2
28,Ingeniería Física,,,,,1,23,156,66,2012-2
29,Ingeniería de Sistemas y Computación,,,,,4,46,437,172,2012-2
30,Ingeniería de Sistemas y Computación (Nocturno),,,,,1,11,98,169,2012-2
31,Ingeniería Electrónica (Nocturno),,,,,8,17,139,126,2013-1
32,Ingeniería Eléctrica,,,,1,27,91,499,284,2013-1
33,Ingeniería Física,,,,2,17,62,160,62,2013-1
34,Ingeniería de Sistemas y Computación,,,,,30,81,420,158,2013-1
35,Ingeniería de Sistemas y Computación (Nocturno),,,,,8,19,96,162,2013-1
36,Ingeniería Electrónica (Nocturno),,,,,10,15,134,105,2013-2
37,Ingeniería Eléctrica,,,,2,41,126,489,257,2013-2
38,Ingeniería Física,,,,2,14,47,135,50,2013-2
39,Ingeniería de Sistemas y Computación,,,,2,41,94,411,135,2013-2
40,Ingeniería de Sistemas y Computación (Nocturno),,,,,8,24,99,145,2013-2
41,Ingeniería Electrónica (Nocturno),,,,6,21,17,138,110,2014-1
42,Ingeniería Eléctrica,,,,37,75,132,508,261,2014-1
43,Ingeniería Física,,,1,26,37,57,159,53,2014-1
44,Ingeniería de Sistemas y Computación,,1,2,32,74,103,403,122,2014-1
45,Ingeniería de Sistemas y Computación (Nocturno),,,1,6,17,29,104,133,2014-1
46,Ingeniería Electrónica (Nocturno),,,,6,22,18,106,85,2014-2
47,Ingeniería Eléctrica,,,2,52,88,129,485,223,2014-2
48,Ingeniería Física,,,1,24,31,46,135,43,2014-2
49,Ingeniería de Sistemas y Computación,,,3,53,87,112,361,96,2014-2
50,Ingeniería de Sistemas y Computación (Nocturno),,,2,6,20,26,103,99,2014-2
51,Ingeniería Electrónica (Nocturno),,1,11,26,27,23,116,79,2015-2
52,Ingeniería Eléctrica,,3,28,96,89,134,469,178,2015-2
53,Ingeniería Física,,,20,51,36,42,116,35,2015-2
54,Ingeniería de Sistemas y Computación,,6,41,90,94,109,291,79,2015-2
55,Ingeniería de Sistemas y Computación (Nocturno),,,8,20,23,34,109,99,2015-2
56,Ingeniería Electrónica (Nocturno),,1,13,18,29,24,127,90,2015-1
57,Ingeniería Eléctrica,,2,23,75,86,124,476,205,2015-1
58,Ingeniería Física,,,21,53,42,43,125,39,2015-1
59,Ingeniería de Sistemas y Computación,,4,24,74,91,107,332,83,2015-1
60,Ingeniería de Sistemas y Computación (Nocturno),,,13,22,22,34,112,101,2015-1
61,Ingeniería Electrónica (Nocturno),,13,27,25,26,22,107,71,2016-1
62,Ingeniería Eléctrica,,24,57,97,88,130,447,164,2016-1
63,Ingeniería Física,,24,47,56,39,48,106,31,2016-1
64,Ingeniería de Sistemas y Computación,,41,90,89,92,112,257,66,2016-1
65,Ingeniería de Sistemas y Computación (Nocturno),,8,24,26,23,37,94,86,2016-1
66,Ingeniería Electrónica (Diurna),,3,9,2,2,,5,2,2016-2
67,Ingeniería Electrónica (Nocturno),,11,17,19,24,19,84,52,2016-2
68,Ingeniería Eléctrica,,30,79,101,89,139,413,128,2016-2
69,Ingeniería Física,,35,58,56,42,47,91,23,2016-2
70,Ingeniería de Sistemas y Computación,,56,112,95,92,115,217,53,2016-2
71,Ingeniería de Sistemas y Computación (Nocturno),,14,21,21,23,33,97,90,2016-2
72,Ingeniería Electrónica (Diurna),,45,10,4,2,,6,1,2017-1
73,Ingeniería Electrónica (Nocturno),,23,14,19,19,20,77,41,2017-1
74,Ingeniería Eléctrica,,55,89,107,95,139,368,112,2017-1
75,Ingeniería Eléctrica (Básicos ingeniería),,33,7,2,1,1,1,,2017-1
76,Ingeniería Física,,47,64,54,40,45,69,20,2017-1
77,Ingeniería Física (Básicos ingenieria),,32,2,2,1,,,,2017-1
78,Ingeniería de Sistemas y Computación,,73,103,90,84,108,198,48,2017-1
79,Ingeniería de Sistemas y Computación (Básicos ingeniería),,33,13,5,3,,,1,2017-1
80,Ingeniería de Sistemas y Computación (Convenio Cuba),,36,10,6,1,4,4,,2017-1
81,Ingeniería de Sistemas y Computación (Nocturno),,34,30,20,22,30,82,73,2017-1
82,Ingeniería Electrónica (Diurna),,51,9,5,1,3,6,2,2017-2
83,Ingeniería Electrónica (Nocturno),,6,10,19,17,15,66,31,2017-2
84,Ingeniería Eléctrica,,109,105,109,105,147,336,107,2017-2
85,Ingeniería Eléctrica (Básicos ingeniería),,14,8,2,,1,,,2017-2
86,Ingeniería Física,,83,63,50,40,39,59,16,2017-2
87,Ingeniería Física (Básicos ingenieria),,12,1,1,1,,,,2017-2
88,Ingeniería de Sistemas y Computación,,174,102,92,77,105,161,45,2017-2
89,Ingeniería de Sistemas y Computación (Básicos ingeniería),,7,12,4,4,,,1,2017-2
90,Ingeniería de Sistemas y Computación (Convenio Cuba),,18,10,6,1,4,2,,2017-2
91,Ingeniería de Sistemas y Computación (Nocturno),,37,33,17,22,27,80,62,2017-2
