Programa,Femenino,Masculino,Año
Ingeniería Electrónica (Nocturno),49,290,2010-1
Ingeniería Eléctrica,129,629,2010-1
Ingeniería Física,112,152,2010-1
Ingeniería de Sistemas y Computación,129,555,2010-1
Ingeniería de Sistemas y Computación (Nocturno),70,228,2010-1
Ingeniería Electrónica (Nocturno),50,281,2010-2
Ingeniería Eléctrica,126,632,2010-2
Ingeniería Física,96,124,2010-2
Ingeniería de Sistemas y Computación,128,534,2010-2
Ingeniería de Sistemas y Computación (Nocturno),72,214,2010-2
Ingeniería Electrónica (Nocturno),42,281,2011-1
Ingeniería Eléctrica,129,639,2011-1
Ingeniería Física,113,161,2011-1
Ingeniería de Sistemas y Computación,121,576,2011-1
Ingeniería de Sistemas y Computación (Nocturno),77,232,2011-1
Ingeniería Electrónica (Nocturno),52,276,2011-2
Ingeniería Eléctrica,132,676,2011-2
Ingeniería Física,93,135,2011-2
Ingeniería de Sistemas y Computación,131,576,2011-2
Ingeniería de Sistemas y Computación (Nocturno),72,231,2011-2
Ingeniería Electrónica (Nocturno),40,259,2012-1
Ingeniería Eléctrica,142,659,2012-1
Ingeniería Física,127,170,2012-1
Ingeniería de Sistemas y Computación,114,543,2012-1
Ingeniería de Sistemas y Computación (Nocturno),63,218,2012-1
Ingeniería Electrónica (Nocturno),42,250,2012-2
Ingeniería Eléctrica,154,715,2012-2
Ingeniería Física,103,143,2012-2
Ingeniería de Sistemas y Computación,111,548,2012-2
Ingeniería de Sistemas y Computación (Nocturno),63,216,2012-2
Ingeniería Electrónica (Nocturno),44,246,2013-1
Ingeniería Eléctrica,164,738,2013-1
Ingeniería Física,134,169,2013-1
Ingeniería de Sistemas y Computación,109,580,2013-1
Ingeniería de Sistemas y Computación (Nocturno),65,220,2013-1
Ingeniería Electrónica (Nocturno),44,220,2013-2
Ingeniería Eléctrica,169,746,2013-2
Ingeniería Física,108,140,2013-2
Ingeniería de Sistemas y Computación,102,581,2013-2
Ingeniería de Sistemas y Computación (Nocturno),70,206,2013-2
