Semestre,Cantidad de Egresados ,Programa 
2014-2,2,Doctorado en Ingeniería
2015-1,6,Doctorado en Ingeniería
2015-2,6,Doctorado en Ingeniería
2016-1,6,Doctorado en Ingeniería
2016-2,7,Doctorado en Ingeniería
2017-1,16,Doctorado en Ingeniería
2017-2,13,Doctorado en Ingeniería
2018-1,17,Doctorado en Ingeniería
2018-2,12,Doctorado en Ingeniería
2019-1,12,Doctorado en Ingeniería
2019-2,9,Doctorado en Ingeniería
2020-1,8,Doctorado en Ingeniería
2020-2,5,Doctorado en Ingeniería
2021-1,3,Doctorado en Ingeniería
2011-1,6,Especialización en Electrónica Digital
2020-1,5,Especialización en Electrónica Digital
2020-2,5,Especialización en Electrónica Digital
2010-1,15,Especialización en Redes de Datos
2010-2,6,Especialización en Redes de Datos
2011-1,17,Especialización en Redes de Datos
2011-2,18,Especialización en Redes de Datos
2012-1,18,Especialización en Redes de Datos
2013-1,2,Especialización en Redes de Datos
2014-1,7,Especialización en Redes de Datos
2014-2,7,Especialización en Redes de Datos
2015-1,7,Especialización en Redes de Datos
2021-1,6,Especialización en Redes de Datos
2019-2,1,Ingeniería Electrónica (Diurna)
2021-2,9,Ingeniería Electrónica (Diurna)
2010-1,16,Ingeniería Electrónica (Nocturno)
2010-2,28,Ingeniería Electrónica (Nocturno)
2011-1,41,Ingeniería Electrónica (Nocturno)
2011-2,50,Ingeniería Electrónica (Nocturno)
2012-1,45,Ingeniería Electrónica (Nocturno)
2012-2,36,Ingeniería Electrónica (Nocturno)
2013-1,39,Ingeniería Electrónica (Nocturno)
2013-2,20,Ingeniería Electrónica (Nocturno)
2014-1,21,Ingeniería Electrónica (Nocturno)
2014-2,27,Ingeniería Electrónica (Nocturno)
2015-1,34,Ingeniería Electrónica (Nocturno)
2015-2,28,Ingeniería Electrónica (Nocturno)
2016-1,32,Ingeniería Electrónica (Nocturno)
2016-2,18,Ingeniería Electrónica (Nocturno)
2017-1,14,Ingeniería Electrónica (Nocturno)
2017-2,14,Ingeniería Electrónica (Nocturno)
2018-1,16,Ingeniería Electrónica (Nocturno)
2018-2,11,Ingeniería Electrónica (Nocturno)
2019-1,13,Ingeniería Electrónica (Nocturno)
2019-2,13,Ingeniería Electrónica (Nocturno)
2020-1,18,Ingeniería Electrónica (Nocturno)
2020-2,14,Ingeniería Electrónica (Nocturno)
2021-1,24,Ingeniería Electrónica (Nocturno)
2021-2,21,Ingeniería Electrónica (Nocturno)
