ProgramaAcademico,Graduados,PromedioPeriodosMatriculados,DuracionPrograma,Brecha,Año
Doctorado en Ingeniería,2,12.00,7.0,5.00,2021
Especialización en Electrónica Digital,1,3.00,2.0,1.00,2021
Especialización en Redes de Datos,,,,,2021
Maestría en Ingeniería Eléctrica,11,6.00,4.0,2.00,2021
Maestría en Ingeniería de Sistemas y Computación,9,6.11,4.0,2.11,2021
Doctorado en Ingeniería,8,12.88,7.0,5.88,2020
Especialización en Electrónica Digital,,,,,2020
Especialización en Redes de Datos,,,,,2020
Maestría en Ingeniería Eléctrica,20,4.75,4.0,0.75,2020
Maestría en Ingeniería de Sistemas y Computación,9,6.44,4.0,2.44,2020
Doctorado en Ingeniería,8,11.25,7.0,4.25,2019
Especialización en Electrónica Digital,,,,,2019
Especialización en Redes de Datos,10,3.00,2.0,1.00,2019
Maestría en Ingeniería Eléctrica,27,5.67,4.0,1.67,2019
Maestría en Ingeniería de Sistemas y Computación,11,6.73,4.0,2.73,2019
Doctorado en Ingeniería,5,11.00,7.0,4.00,2018
Especialización en Electrónica Digital,,,,,2018
Especialización en Redes de Datos,1,5.00,2.0,3.00,2018
Maestría en Ingeniería Eléctrica,18,4.78,4.0,0.78,2018
Maestría en Ingeniería de Sistemas y Computación,18,5.39,4.0,1.39,2018
Doctorado en Ingeniería,4,11.50,7.0,4.50,2017
Especialización en Electrónica Digital,,,,,2017
Especialización en Redes de Datos,4,5.25,2.0,3.25,2017
Maestría en Ingeniería Eléctrica,14,6.00,4.0,2.00,2017
Maestría en Ingeniería de Sistemas y Computación,17,6.65,4.0,2.65,2017
Doctorado en Ingeniería,1,14.00,7.0,7.00,2016
Especialización en Electrónica Digital,,,,,2016
Especialización en Redes de Datos,,,,,2016
Maestría en Ingeniería Eléctrica,14,5.64,4.0,1.64,2016
Maestría en Ingeniería de Sistemas y Computación,3,5.33,4.0,1.33,2016
Doctorado en Ingeniería,,,,,2015
Especialización en Electrónica Digital,,,,,2015
Especialización en Redes de Datos,7,4.00,2.0,2.00,2015
Maestría en Ingeniería Eléctrica,24,5.29,4.0,1.29,2015
Maestría en Ingeniería de Sistemas y Computación,9,6.11,4.0,2.11,2015
Doctorado en Ingeniería,,,,,2014
Especialización en Electrónica Digital,1,5.00,2.0,3.00,2014
Especialización en Redes de Datos,6,6.00,2.0,4.00,2014
Maestría en Ingeniería Eléctrica,23,4.78,4.0,0.78,2014
Maestría en Ingeniería de Sistemas y Computación,5,7.00,4.0,3.00,2014
Doctorado en Ingeniería,,,,,2013
Especialización en Electrónica Digital,5,5.00,2.0,3.00,2013
Especialización en Redes de Datos,6,5.17,2.0,3.17,2013
Maestría en Ingeniería Eléctrica,24,5.42,4.0,1.42,2013
Maestría en Ingeniería de Sistemas y Computación,3,5.00,4.0,1.00,2013
Doctorado en Ingeniería,,,,,2012
Especialización en Electrónica Digital,,,,,2012
