PeriodoAnalisis,NoMatriculado,PermanecePograma,CambioDeprograma,Graduado,Programa  
2010-1 a 2011-1,213,1.835,94,201,INGENIERIA GENERAL PREGRADO
2010-2 a 2011-2,177,1.746,43,291,INGENIERIA GENERAL PREGRADO
2011-1 a 2012-1,190,1.845,84,252,INGENIERIA GENERAL PREGRADO
2011-2 a 2012-2,217,1.780,60,317,INGENIERIA GENERAL PREGRADO
2012-1 a 2013-1,165,1.928,80,162,INGENIERIA GENERAL PREGRADO
2012-2 a 2013-2,168,1.909,55,213,INGENIERIA GENERAL PREGRADO
2013-1 a 2014-1,213,1.921,85,250,INGENIERIA GENERAL PREGRADO
2013-2 a 2014-2,34,2.109,14,229,INGENIERIA GENERAL PREGRADO
2014-1 a 2015-1,284,2.102,79,200,INGENIERIA GENERAL PREGRADO
2014-2 a 2015-2,134,2.002,45,283,INGENIERIA GENERAL PREGRADO
2015-1 a 2016-1,168,2.112,53,302,INGENIERIA GENERAL PREGRADO
2015-2 a 2016-2,178,1.989,58,358,INGENIERIA GENERAL PREGRADO
2016-1 a 2017-1,226,2.108,67,293,INGENIERIA GENERAL PREGRADO
2016-2 a 2017-2,214,2.045,52,309,INGENIERIA GENERAL PREGRADO
2017-1 a 2018-1,211,2.238,65,279,INGENIERIA GENERAL PREGRADO
2017-2 a 2018-2,188,2.160,42,357,INGENIERIA GENERAL PREGRADO
2018-1 a 2019-1,185,2.179,57,331,INGENIERIA GENERAL PREGRADO
2018-2 a 2019-2,200,2.011,39,390,INGENIERIA GENERAL PREGRADO
2019-1 a 2020-1,198,2.171,50,273,INGENIERIA GENERAL PREGRADO
2019-2 a 2020-2,127,2.057,38,395,INGENIERIA GENERAL PREGRADO
2020-1 a 2021-1,82,2.342,27,312,INGENIERIA GENERAL PREGRADO
2020-2 a 2021-2,231,2.380,46,245,INGENIERIA GENERAL PREGRADO
2016-2 a 2017-2,8,15,,,INGENIERIA ELECTRONICA
2017-1 a 2018-1,15,45,8,,INGENIERIA ELECTRONICA
2017-2 a 2018-2,12,60,5,,INGENIERIA ELECTRONICA
2018-1 a 2019-1,17,98,6,,INGENIERIA ELECTRONICA
2018-2 a 2019-2,17,99,9,,INGENIERIA ELECTRONICA
2019-1 a 2020-1,19,146,13,,INGENIERIA ELECTRONICA
2019-2 a 2020-2,5,161,4,2,INGENIERIA ELECTRONICA
2020-1 a 2021-1,9,211,4,1,INGENIERIA ELECTRONICA
2020-2 a 2021-2,20,218,6,2,INGENIERIA ELECTRONICA
2010-1 a 2011-1,37,266,24,12,INGENEIERIA ELECTRONICA(NOCTURNO)
2010-2 a 2011-2,47,242,16,26,INGENEIERIA ELECTRONICA(NOCTURNO)
2011-1 a 2012-1,28,242,19,34,INGENEIERIA ELECTRONICA(NOCTURNO)
2011-2 a 2012-2,45,211,18,54,INGENEIERIA ELECTRONICA(NOCTURNO)
2012-1 a 2013-1,35,229,11,24,INGENEIERIA ELECTRONICA(NOCTURNO)
2012-2 a 2013-2,38,219,6,29,INGENEIERIA ELECTRONICA(NOCTURNO)
2013-1 a 2014-1,41,200,13,36,INGENEIERIA ELECTRONICA(NOCTURNO)
2013-2 a 2014-2,7,222,4,31,INGENEIERIA ELECTRONICA(NOCTURNO)
2014-1 a 2015-1,55,195,14,28,INGENEIERIA ELECTRONICA(NOCTURNO)
2014-2 a 2015-2,15,186,2,34,INGENEIERIA ELECTRONICA(NOCTURNO)
2015-1 a 2016-1,40,218,9,35,INGENEIERIA ELECTRONICA(NOCTURNO)
2015-2 a 2016-2,32,202,10,39,INGENEIERIA ELECTRONICA(NOCTURNO)
2016-1 a 2017-1,40,207,7,37,INGENEIERIA ELECTRONICA(NOCTURNO)
2016-2 a 2017-2,21,173,6,26,INGENEIERIA ELECTRONICA(NOCTURNO)
2017-1 a 2018-1,17,144,6,30,INGENEIERIA ELECTRONICA(NOCTURNO)
2017-2 a 2018-2,10,118,2,34,INGENEIERIA ELECTRONICA(NOCTURNO)
2018-1 a 2019-1,8,99,2,31,INGENEIERIA ELECTRONICA(NOCTURNO)
2018-2 a 2019-2,8,86,1,25,INGENEIERIA ELECTRONICA(NOCTURNO)
2019-1 a 2020-1,7,77,4,12,INGENEIERIA ELECTRONICA(NOCTURNO)
2019-2 a 2020-2,8,51,,29,INGENEIERIA ELECTRONICA(NOCTURNO)
2020-1 a 2021-1,1,49,,25,INGENEIERIA ELECTRONICA(NOCTURNO)
2020-2 a 2021-2,2,30,,24,INGENEIERIA ELECTRONICA(NOCTURNO)
2010-1 a 2011-1,38,601,31,88,INGENIERIA ELECTRICA 
2010-2 a 2011-2,36,618,6,98,INGENIERIA ELECTRICA 
2011-1 a 2012-1,40,646,6,76,INGENIERIA ELECTRICA 
2011-2 a 2012-2,49,663,15,81,INGENIERIA ELECTRICA 
2012-1 a 2013-1,34,715,11,41,INGENIERIA ELECTRICA 
2012-2 a 2013-2,40,742,14,73,INGENIERIA ELECTRICA 
2013-1 a 2014-1,53,750,23,76,INGENIERIA ELECTRICA 
2013-2 a 2014-2,5,853,,57,INGENIERIA ELECTRICA 
2014-1 a 2015-1,76,854,26,57,INGENIERIA ELECTRICA 
2014-2 a 2015-2,42,837,18,82,INGENIERIA ELECTRICA 
2015-1 a 2016-1,36,833,14,108,INGENIERIA ELECTRICA 
2015-2 a 2016-2,43,801,17,136,INGENIERIA ELECTRICA 
2016-1 a 2017-1,58,807,23,119,INGENIERIA ELECTRICA 
2016-2 a 2017-2,42,789,15,134,INGENIERIA ELECTRICA 
2017-1 a 2018-1,37,826,15,116,INGENIERIA ELECTRICA 
2017-2 a 2018-2,49,809,15,145,INGENIERIA ELECTRICA 
2018-1 a 2019-1,59,774,16,150,INGENIERIA ELECTRICA 
2018-2 a 2019-2,46,724,8,192,INGENIERIA ELECTRICA 
2019-1 a 2020-1,49,771,12,130,INGENIERIA ELECTRICA 
2019-2 a 2020-2,33,731,15,151,INGENIERIA ELECTRICA 
2020-1 a 2021-1,16,790,7,122,INGENIERIA ELECTRICA 
2020-2 a 2021-2,62,834,15,88,INGENIERIA ELECTRICA 
2017-1 a 2018-1,1,19,2,,INGENIERIA ELECTRICA (BASICOS INGENIERIA)
2017-2 a 2018-2,2,18,,,INGENIERIA ELECTRICA (BASICOS INGENIERIA)
2018-1 a 2019-1,,18,,,INGENIERIA ELECTRICA (BASICOS INGENIERIA)
2018-2 a 2019-2,5,12,1,,INGENIERIA ELECTRICA (BASICOS INGENIERIA)
2010-1 a 2011-1,26,196,11,31,INGENIERIA FISICA 
2010-2 a 2011-2,12,176,4,28,INGENIERIA FISICA 
2011-1 a 2012-1,28,216,11,19,INGENIERIA FISICA 
2011-2 a 2012-2,14,187,7,20,INGENIERIA FISICA 
2012-1 a 2013-1,22,235,26,14,INGENIERIA FISICA 
2012-2 a 2013-2,15,193,16,22,INGENIERIA FISICA 
2013-1 a 2014-1,19,238,20,26,INGENIERIA FISICA 
2013-2 a 2014-2,,220,2,26,INGENIERIA FISICA 
2014-1 a 2015-1,30,261,14,28,INGENIERIA FISICA 
2014-2 a 2015-2,19,213,6,42,INGENIERIA FISICA 
2015-1 a 2016-1,11,265,8,39,INGENIERIA FISICA 
2015-2 a 2016-2,19,219,12,50,INGENIERIA FISICA 
2016-1 a 2017-1,30,268,15,38,INGENIERIA FISICA 
2016-2 a 2017-2,35,263,7,47,INGENIERIA FISICA 
2017-1 a 2018-1,39,286,12,35,INGENIERIA FISICA 
2017-2 a 2018-2,17,279,4,50,INGENIERIA FISICA 
2018-1 a 2019-1,29,282,8,41,INGENIERIA FISICA 
2018-2 a 2019-2,27,277,4,43,INGENIERIA FISICA 
2019-1 a 2020-1,23,287,6,31,INGENIERIA FISICA 
2019-2 a 2020-2,16,258,7,67,INGENIERIA FISICA 
2020-1 a 2021-1,7,290,3,59,INGENIERIA FISICA 
2020-2 a 2021-2,30,294,8,40,INGENIERIA FISICA 
2017-1 a 2018-1,2,15,,,INGENIERIA FISICA(BASICOS INGENIERIA
2017-2 a 2018-2,1,14,,,INGENIERIA FISICA(BASICOS INGENIERIA
2018-1 a 2019-1,1,13,,,INGENIERIA FISICA(BASICOS INGENIERIA
2018-2 a 2019-2,3,9,1,,INGENIERIA FISICA(BASICOS INGENIERIA
2010-1 a 2011-1,57,542,18,67,INGENIERIA DE SISTEMAS Y COMPUTACION
2010-2 a 2011-2,39,499,9,115,INGENIERIA DE SISTEMAS Y COMPUTACION
2011-1 a 2012-1,45,527,22,103,INGENIERIA DE SISTEMAS Y COMPUTACION
2011-2 a 2012-2,56,515,11,125,INGENIERIA DE SISTEMAS Y COMPUTACION
2012-1 a 2013-1,33,539,20,65,INGENIERIA DE SISTEMAS Y COMPUTACION
2012-2 a 2013-2,43,534,12,70,INGENIERIA DE SISTEMAS Y COMPUTACION
2013-1 a 2014-1,43,539,19,88,INGENIERIA DE SISTEMAS Y COMPUTACION
2013-2 a 2014-2,7,587,7,82,INGENIERIA DE SISTEMAS Y COMPUTACION
2014-1 a 2015-1,63,590,20,64,INGENIERIA DE SISTEMAS Y COMPUTACION
2014-2 a 2015-2,41,556,12,103,INGENIERIA DE SISTEMAS Y COMPUTACION
2015-1 a 2016-1,37,564,17,97,INGENIERIA DE SISTEMAS Y COMPUTACION
2015-2 a 2016-2,39,553,11,107,INGENIERIA DE SISTEMAS Y COMPUTACION
