PeriodoDeAnalisis,NoMatriculado,PermanecePrograma,CambioDePrograma,Graduado,Programa 
2010-1 a 2010-2,304,1.797,78,164,Ingeniería
2010-2 a 2011-1,271,1.829,36,121,Ingeniería
2011-1 a 2011-2,254,1.859,74,184,Ingeniería
2011-2 a 2012-1,314,1.836,49,175,Ingeniería
2012-1 a 2012-2,219,1.914,75,127,Ingeniería
2012-2 a 2013-1,254,1.985,41,65,Ingeniería
2013-1 a 2013-2,280,1.960,78,151,Ingeniería
2013-2 a 2014-1,50,2.165,12,159,Ingeniería
2014-1 a 2014-2,359,2.101,63,142,Ingeniería
2014-2 a 2015-1,202,2.124,41,97,Ingeniería
2015-1 a 2015-2,234,2.131,47,223,Ingeniería
2015-2 a 2016-1,248,2.110,48,177,Ingeniería
2016-1 a 2016-2,298,2.102,58,236,Ingeniería
2016-2 a 2017-1,295,2.157,38,129,Ingeniería
2017-1 a 2017-2,287,2.257,49,201,Ingeniería
2017-2 a 2018-1,262,2.288,32,165,Ingeniería
2018-1 a 2018-2,272,2.213,47,220,Ingeniería
2018-2 a 2019-1,259,2.172,21,188,Ingeniería
2019-1 a 2019-2,269,2.181,36,206,Ingeniería
2019-2 a 2020-1,190,2.251,31,145,Ingeniería
2020-1 a 2020-2,116,2.353,27,267,Ingeniería
2020-2 a 2021-1,344,2.350,30,178,Ingeniería
2021-1 a 2021-2,274,2.437,21,90,Ingeniería
2016-2 a 2017-1,9,14,,,Ingeniería Electrónica (Diurna)
2017-1 a 2017-2,15,45,8,,Ingeniería Electrónica (Diurna)
2017-2 a 2018-1,13,60,4,,Ingeniería Electrónica (Diurna)
2018-1 a 2018-2,21,96,4,,Ingeniería Electrónica (Diurna)
2018-2 a 2019-1,24,96,5,,Ingeniería Electrónica (Diurna)
2019-1 a 2019-2,25,142,11,,Ingeniería Electrónica (Diurna)
2019-2 a 2020-1,8,161,3,,Ingeniería Electrónica (Diurna)
2020-1 a 2020-2,12,208,4,1,Ingeniería Electrónica (Diurna)
2020-2 a 2021-1,28,211,5,2,Ingeniería Electrónica (Diurna)
2021-1 a 2021-2,29,258,2,,Ingeniería Electrónica (Diurna)
2010-1 a 2010-2,51,258,21,9,Ingeniería Electrónica (Nocturno)
2010-2 a 2011-1,62,251,11,7,Ingeniería Electrónica (Nocturno)
2011-1 a 2011-2,38,250,17,18,Ingeniería Electrónica (Nocturno)
2011-2 a 2012-1,62,217,17,32,Ingeniería Electrónica (Nocturno)
2012-1 a 2012-2,44,223,11,21,Ingeniería Electrónica (Nocturno)
2012-2 a 2013-1,51,229,4,8,Ingeniería Electrónica (Nocturno)
2013-1 a 2013-2,51,204,13,22,Ingeniería Electrónica (Nocturno)
2013-2 a 2014-1,10,227,3,24,Ingeniería Electrónica (Nocturno)
2014-1 a 2014-2,69,192,11,20,Ingeniería Electrónica (Nocturno)
