CohorteAcademica,NumeroEstudiantesCohorte,NumeroGraduados,PromedioPeriodosMatriculados,ProgramaAcademico
2011-2,6,5,13.2,Doctorado en Ingeniería
2012-1,1,1,11.0,Doctorado en Ingeniería
2012-2,5,2,14.5,Doctorado en Ingeniería
2013-1,3,3,13.3,Doctorado en Ingeniería
2013-2,2,2,11.5,Doctorado en Ingeniería
2014-1,6,6,11.0,Doctorado en Ingeniería
2015-1,4,3,11.7,Doctorado en Ingeniería
2015-2,2,2,11.0,Doctorado en Ingeniería
2016-1,10,1,7.0,Doctorado en Ingeniería
2016-2,4,2,8.5,Doctorado en Ingeniería
2010-1,83,38,13.4,Ingeniería Eléctrica
2010-2,92,37,13.8,Ingeniería Eléctrica
2011-1,83,35,13.6,Ingeniería Eléctrica
2011-2,91,31,13.9,Ingeniería Eléctrica
2012-1,97,43,12.7,Ingeniería Eléctrica
2012-2,114,48,12.7,Ingeniería Eléctrica
2013-1,104,43,12.3,Ingeniería Eléctrica
2013-2,75,42,11.5,Ingeniería Eléctrica
2014-1,100,42,11.7,Ingeniería Eléctrica
2014-2,104,33,10.6,Ingeniería Eléctrica
2015-1,86,34,10.8,Ingeniería Eléctrica
2015-2,93,14,8.9,Ingeniería Eléctrica
2016-1,89,17,8.1,Ingeniería Eléctrica
2016-2,105,8,7.1,Ingeniería Eléctrica
2017-1,119,12,7.1,Ingeniería Eléctrica
2017-2,104,9,7.0,Ingeniería Eléctrica
2018-1,102,8,6.5,Ingeniería Eléctrica
2010-2,11,10,5.2,Especialización en Redes de Datos
2011-1,1,1,4.0,Especialización en Redes de Datos
2013-2,7,7,4.0,Especialización en Redes de Datos
2019-1,8,7,2.0,Especialización en Redes de Datos
2010-1,1,1,5.0,Especialización en Electrónica Digital
2019-2,5,1,3.0,Especialización en Electrónica Digital
2010-1,74,19,13.3,Ingeniería Física
2010-2,2,1,13.0,Ingeniería Física
2011-1,84,26,12.5,Ingeniería Física
2011-2,1,1,11.0,Ingeniería Física
2012-1,89,32,12.3,Ingeniería Física
