Codigo,Asignatura,Matriculadas,Aprobado,Reprobado,Cancelada,PorcentajeAprobado,PorcentajeReprobado,PorcentajeCancelado,Semestre,ProgramaAcademico
IM643,MECÁNICA DE FLUIDOS,39,13,8,18,0.33,0.21,0.46,2016-1,Ingeniería Eléctrica 
II903,FUNDAMENTOS DE INGENIERÍA ECONÓMICA,88,67,5,16,0.76,0.06,0.18,2016-1,Ingeniería Eléctrica 
CB234,FÍSICA I,78,47,18,13,0.60,0.23,0.17,2016-1,Ingeniería Eléctrica 
IE913,TEORIA DE CONTROL,82,50,17,15,0.61,0.21,0.18,2016-1,Ingeniería Eléctrica 
CB413,MATEMÁTICAS IV,56,36,19,1,0.64,0.34,0.02,2016-1,Ingeniería Eléctrica 
IM503,RESISTENCIA DE MATERIALES I,107,31,33,43,0.29,0.31,0.40,2016-1,Ingeniería Eléctrica 
IE951,LABORATORIO DE MEDIDAS ELECTRICAS,53,47,0,6,0.89,0.00,0.11,2016-1,Ingeniería Eléctrica 
IE002,LABORATORIO DE ELECTRONICA III,41,40,0,1,0.98,0.00,0.02,2016-1,Ingeniería Eléctrica 
IE089,PROYECTO DE GRADO II,1,0,0,1,0.00,0.00,1.00,2016-1,Ingeniería Eléctrica 
IE753,ILUMINACIÓN. INSTALACIONES Y CALEFACCIÓN,79,54,20,5,0.68,0.25,0.06,2016-1,Ingeniería Eléctrica 
IE802,LABORATORIO DE ELECTRONICA I,36,36,0,0,1.00,0.00,0.00,2016-1,Ingeniería Eléctrica 
CB115,MATEMÁTICAS I,57,31,17,9,0.54,0.30,0.16,2016-1,Ingeniería Eléctrica 
UVMA2,PRODUCCIÓN Y CONSUMO SUSTENTABLE,10,8,2,0,0.80,0.20,0.00,2016-1,Ingeniería Eléctrica 
BUA8,GIMNASIO,4,0,0,4,0.00,0.00,1.00,2016-1,Ingeniería Eléctrica 
IE764,SISTEMAS DE TRANSMISIÓN DE ENERGIA,88,37,38,13,0.42,0.43,0.15,2016-1,Ingeniería Eléctrica 
IM403,MECÁNICA II,59,19,10,30,0.32,0.17,0.51,2016-1,Ingeniería Eléctrica 
IE711,LABORATORIO DE CIRCUITOS ELECTRICOS II,35,34,0,1,0.97,0.00,0.03,2016-1,Ingeniería Eléctrica 
II883,SALUD OCUPACIONAL,11,10,0,1,0.91,0.00,0.09,2016-1,Ingeniería Eléctrica 
CB152,DIBUJO I,92,76,12,4,0.83,0.13,0.04,2016-1,Ingeniería Eléctrica 
BA372,HUMANIDADES II,72,59,7,6,0.82,0.10,0.08,2016-1,Ingeniería Eléctrica 
IE064,SISTEMAS DE GENERACIÓN DE ENERGÍA,43,42,1,0,0.98,0.02,0.00,2016-1,Ingeniería Eléctrica 
IE074,PROTECCIÓN DE SISTEMAS DE POTENCIA,58,47,7,4,0.81,0.12,0.07,2016-1,Ingeniería Eléctrica 
TQ133,QUÍMICA GENERAL,95,65,18,12,0.68,0.19,0.13,2016-1,Ingeniería Eléctrica 
II0F3,CONTROL TOTAL DE LA CALIDAD,5,4,0,1,0.80,0.00,0.20,2016-1,Ingeniería Eléctrica 
CB253,DIBUJO II,112,62,17,33,0.55,0.15,0.29,2016-1,Ingeniería Eléctrica 
CB113,MATEMÁTICAS I ARTICULACION ASIGNATURA DOS,24,5,19,0,0.21,0.79,0.00,2016-1,Ingeniería Eléctrica 
IE704,ELECTRONICA I,89,55,16,18,0.62,0.18,0.20,2016-1,Ingeniería Eléctrica 
IE813,ELECTRONICA II,56,35,5,16,0.63,0.09,0.29,2016-1,Ingeniería Eléctrica 
CB334,FÍSICA II,63,52,9,2,0.83,0.14,0.03,2016-1,Ingeniería Eléctrica 
II534,CONTABILIDAD INDUSTRIAL,10,8,1,1,0.80,0.10,0.10,2016-1,Ingeniería Eléctrica 
BU101,DEPORTES I,2,0,0,2,0.00,0.00,1.00,2016-1,Ingeniería Eléctrica 
IE053,RELEVACIÓN INDUSTRIAL,42,35,5,2,0.83,0.12,0.05,2016-1,Ingeniería Eléctrica 
CB342,LABORATORIO DE FÍSICA II,60,56,2,2,0.93,0.03,0.03,2016-1,Ingeniería Eléctrica 
IE643,CIRCUITOS ELECTRICOS II,76,53,18,5,0.70,0.24,0.07,2016-1,Ingeniería Eléctrica 
IE621,LABORATORIO DE CIRCUITOS ELECTRICOS I,64,64,0,0,1.00,0.00,0.00,2016-1,Ingeniería Eléctrica 
IE744,MAQUINAS ELECTRICAS I,89,52,22,15,0.58,0.25,0.17,2016-1,Ingeniería Eléctrica 
CB423,MÉTODOS NUMÉRICOS,75,54,4,17,0.72,0.05,0.23,2016-1,Ingeniería Eléctrica 
IIA06,LEGISLACIÓN LABORAL Y COMERCIAL,39,34,1,4,0.87,0.03,0.10,2016-1,Ingeniería Eléctrica 
IE0D3,ELECTRÓNICA DE POTENCIA ,12,9,0,3,0.75,0.00,0.25,2016-1,Ingeniería Eléctrica 
BUA3,FUTBOL,1,0,0,1,0.00,0.00,1.00,2016-1,Ingeniería Eléctrica 
CB314,MATEMÁTICAS III,58,45,6,7,0.78,0.10,0.12,2016-1,Ingeniería Eléctrica 
UV372,HUMANIDADES II,6,6,0,0,1.00,0.00,0.00,2016-1,Ingeniería Eléctrica 
BUA1,VOLEIBOL,1,0,0,1,0.00,0.00,1.00,2016-1,Ingeniería Eléctrica 
