TipoDeVinculacion,Semestre,NivelDeFormacion,CantidadDeDocentes
Cátedra,2021-1,Doctorado,3
Cátedra,2021-1,Especialización,13
Cátedra,2021-1,Maestría,40
Cátedra,2021-1,Profesional,52
Planta,2021-1,Doctorado,17
Planta,2021-1,Especialización,1
Planta,2021-1,Maestría,8
Planta,2021-1,Profesional,3
Transitorio,2021-1,Doctorado,6
Transitorio,2021-1,Especialización,3
Transitorio,2021-1,Maestría,19
Transitorio,2021-1,Profesional,1
Cátedra,2020-1,Doctorado,4
Cátedra,2020-1,Especialización,15
Cátedra,2020-1,Maestría,36
Cátedra,2020-1,Profesional,55
Planta,2020-1,Doctorado,17
Planta,2020-1,Especialización,1
Planta,2020-1,Maestría,8
Planta,2020-1,Profesional,3
Transitorio,2020-1,Doctorado,7
Transitorio,2020-1,Especialización,2
Transitorio,2020-1,Maestría,17
Transitorio,2020-1,Profesional,1
Cátedra,2020-2,Doctorado,5
Cátedra,2020-2,Especialización,15
Cátedra,2020-2,Maestría,37
Cátedra,2020-2,Profesional,59
Planta,2020-2,Doctorado,17
Planta,2020-2,Especialización,1
Planta,2020-2,Maestría,8
Planta,2020-2,Profesional,3
Transitorio,2020-2,Doctorado,7
Transitorio,2020-2,Especialización,2
Transitorio,2020-2,Maestría,19
Transitorio,2020-2,Profesional,1
Cátedra,2019-1,Doctorado,1
Cátedra,2019-1,Especialización,14
Cátedra,2019-1,Maestría,30
Cátedra,2019-1,Profesional,56
Planta,2019-1,Doctorado,17
Planta,2019-1,Especialización,1
Planta,2019-1,Maestría,10
Planta,2019-1,Profesional,3
Transitorio,2019-1,Doctorado,6
Transitorio,2019-1,Especialización,2
Transitorio,2019-1,Maestría,18
Transitorio,2019-1,Profesional,1
Cátedra,2019-2,Doctorado,1
Cátedra,2019-2,Especialización,14
Cátedra,2019-2,Maestría,37
Cátedra,2019-2,Profesional,49
Planta,2019-2,Doctorado,17
Planta,2019-2,Especialización,1
Planta,2019-2,Maestría,8
Planta,2019-2,Profesional,3
Transitorio,2019-2,Doctorado,6
Transitorio,2019-2,Especialización,2
Transitorio,2019-2,Maestría,19
Transitorio,2019-2,Profesional,1
Cátedra,2018-1,Doctorado,3
Cátedra,2018-1,Especialización,14
Cátedra,2018-1,Maestría,35
Cátedra,2018-1,Profesional,49
Planta,2018-1,Doctorado,15
Planta,2018-1,Especialización,1
Planta,2018-1,Maestría,12
Planta,2018-1,Profesional,3
Transitorio,2018-1,Doctorado,4
Transitorio,2018-1,Especialización,3
Transitorio,2018-1,Maestría,18
Transitorio,2018-1,Profesional,1
Cátedra,2018-2,Doctorado,3
