ProgramaAcademico,Inscrito,Primer curso,Matriculado,Graduado,Año
Especialización en Electrónica Digital,1,1,14,,2010
Especialización en Redes de Datos,15,11,32,,2010
Ingeniería Electrónica (Nocturno),157,111,670,9,2010
Ingeniería Eléctrica,247,164,1.516,84,2010
Ingeniería Física,93,74,484,29,2010
Ingeniería de Sistemas y Computación,404,163,1.346,66,2010
Ingeniería de Sistemas y Computación (Nocturno),176,138,584,2,2010
Maestría en Ingeniería Eléctrica,40,32,119,8,2010
Maestría en Ingeniería de Sistemas y Computación,34,25,25,,2010
Doctorado en Ingeniería,10,6,6,,2011
Especialización en Electrónica Digital,2,,6,,2011
Especialización en Redes de Datos,10,1,45,3,2011
Ingeniería Electrónica (Nocturno),140,105,651,25,2011
Ingeniería Eléctrica,283,166,1.576,59,2011
Ingeniería Física,87,82,502,15,2011
Ingeniería de Sistemas y Computación,471,168,1.404,95,2011
Ingeniería de Sistemas y Computación (Nocturno),175,143,612,26,2011
Maestría en Ingeniería Eléctrica,31,25,128,6,2011
Maestría en Ingeniería de Sistemas y Computación,30,16,65,,2011
Doctorado en Ingeniería,11,6,19,,2012
Especialización en Electrónica Digital,,,6,,2012
Especialización en Redes de Datos,1,,20,,2012
Ingeniería Electrónica (Nocturno),156,109,591,42,2012
Ingeniería Eléctrica,277,174,1.670,61,2012
Ingeniería Física,88,86,543,19,2012
Ingeniería de Sistemas y Computación,331,164,1.316,81,2012
Ingeniería de Sistemas y Computación (Nocturno),172,133,560,22,2012
Maestría en Ingeniería Eléctrica,21,18,90,11,2012
Maestría en Ingeniería de Sistemas y Computación,18,13,51,,2012
Doctorado en Ingeniería,10,5,33,,2013
Especialización en Electrónica Digital,,,6,5,2013
Especialización en Redes de Datos,16,7,17,6,2013
Ingeniería Electrónica (Nocturno),109,68,554,29,2013
Ingeniería Eléctrica,324,134,1.817,57,2013
Ingeniería Física,78,89,551,15,2013
Ingeniería de Sistemas y Computación,353,128,1.372,76,2013
Ingeniería de Sistemas y Computación (Nocturno),121,93,561,20,2013
Maestría en Ingeniería Eléctrica,36,30,109,24,2013
Maestría en Ingeniería de Sistemas y Computación,26,13,85,3,2013
Doctorado en Ingeniería,6,6,47,,2014
Especialización en Electrónica Digital,,,,1,2014
Especialización en Redes de Datos,,,19,6,2014
Ingeniería Electrónica (Nocturno),87,65,529,28,2014
Ingeniería Eléctrica,284,166,1.992,43,2014
Ingeniería Física,76,80,613,24,2014
Ingeniería de Sistemas y Computación,312,162,1.449,58,2014
Ingeniería de Sistemas y Computación (Nocturno),136,98,546,32,2014
Maestría en Ingeniería Eléctrica,19,18,113,23,2014
Maestría en Ingeniería de Sistemas y Computación,27,22,127,5,2014
Doctorado en Ingeniería,9,6,52,,2015
Especialización en Redes de Datos,,,7,7,2015
Ingeniería Electrónica (Nocturno),136,112,585,35,2015
Ingeniería Eléctrica,300,152,1.988,77,2015
Ingeniería Física,75,78,623,36,2015
Ingeniería de Sistemas y Computación,446,153,1.425,91,2015
Ingeniería de Sistemas y Computación (Nocturno),157,127,597,24,2015
Maestría en Ingeniería Eléctrica,18,14,98,24,2015
Maestría en Ingeniería de Sistemas y Computación,24,19,136,9,2015
Doctorado en Ingeniería,15,14,70,1,2016
Especialización en Redes de Datos,1,,,,2016
Ingeniería Electrónica (Diurna),28,23,23,,2016
Ingeniería Electrónica (Nocturno),80,54,517,33,2016
Ingeniería Eléctrica,377,165,1.986,114,2016
Ingeniería Eléctrica (Básicos ingeniería),12,,,,2016
Ingeniería Física,187,160,703,30,2016
Ingeniería Física (Básicos ingenieria),9,,,,2016
Ingeniería de Sistemas y Computación,493,200,1.487,81,2016
