Semestre ,TipoDeVinculacion,NivelDeFormacion,NumeroDeDocentes
2021-1,Cátedra,Doctorado,3
2021-1,Cátedra,Especialización,13
2021-1,Cátedra,Maestría,40
2021-1,Cátedra,Profesional,52
2021-1,Planta,Doctorado,17
2021-1,Planta,Especialización,1
2021-1,Planta,Maestría,8
2021-1,Planta,Profesional,3
2021-1,Transitorio,Doctorado,6
2021-1,Transitorio,Especialización,3
2021-1,Transitorio,Maestría,19
2021-1,Transitorio,Profesional,1
2020-1,Cátedra,Doctorado,4
2020-1,Cátedra,Especialización,15
2020-1,Cátedra,Maestría,36
2020-1,Cátedra,Profesional,55
2020-1,Planta,Doctorado,17
2020-1,Planta,Especialización,1
2020-1,Planta,Maestría,8
2020-1,Planta,Profesional,3
2020-1,Transitorio,Doctorado,7
2020-1,Transitorio,Especialización,2
2020-1,Transitorio,Maestría,17
2020-1,Transitorio,Profesional,1
2020-2,Cátedra,Doctorado,5
2020-2,Cátedra,Especialización,15
2020-2,Cátedra,Maestría,37
2020-2,Cátedra,Profesional,59
2020-2,Planta,Doctorado,17
2020-2,Planta,Especialización,1
2020-2,Planta,Maestría,8
2020-2,Planta,Profesional,3
2020-2,Transitorio,Doctorado,7
2020-2,Transitorio,Especialización,2
2020-2,Transitorio,Maestría,19
2020-2,Transitorio,Profesional,1
2019-1,Cátedra,Doctorado,1
2019-1,Cátedra,Especialización,14
2019-1,Cátedra,Maestría,30
2019-1,Cátedra,Profesional,56
2019-1,Planta,Doctorado,17
2019-1,Planta,Especialización,1
2019-1,Planta,Maestría,10
2019-1,Planta,Profesional,3
2019-1,Transitorio,Doctorado,6
2019-1,Transitorio,Especialización,2
2019-1,Transitorio,Maestría,18
2019-1,Transitorio,Profesional,1
2019-2,Cátedra,Doctorado,1
2019-2,Cátedra,Especialización,14
2019-2,Cátedra,Maestría,37
2019-2,Cátedra,Profesional,49
2019-2,Planta,Doctorado,17
2019-2,Planta,Especialización,1
2019-2,Planta,Maestría,8
2019-2,Planta,Profesional,3
2019-2,Transitorio,Doctorado,6
2019-2,Transitorio,Especialización,2
2019-2,Transitorio,Maestría,19
2019-2,Transitorio,Profesional,1
