CodigoUTP,Estado,Nivel,NombrePrograma,ResoluciónRegistroCalificado,ResoluciónAcreditaciónAltaCalidad,Año
28,Ofrecido,Pregrado,Ingeniería de Sistemas y Computación,,16816 DEL 19-AGO-2016 (,2021
FI,Ofrecido,Pregrado,Ingeniería Electrónica (Diurna),,,2021
12,Ofrecido,Pregrado,Ingeniería Eléctrica,,11956 DEL 16-JUN-2016,2021
34,Ofrecido,Pregrado,Ingeniería Física,,18212 DEL 13-SEP-2017,2021
TS,Ofrecido,Pregrado,Tecnología en Desarrollo de Software,,,2021
DV,Ofrecido,Posgrado,Doctorado en Ingeniería,,,2021
AZ,Ofrecido,Posgrado,Especialización en Redes de Datos,,,2021
AY,Ofrecido,Posgrado,Maestría en Ingeniería de Sistemas y Computación,,,2021
47,Ofrecido,Posgrado,Maestría en Ingeniería Eléctrica,,003146 DEL 01-MAR-2021,2021
AT,No ofrecido,Posgrado,Especialización en Electrónica Digital,,,2021
28,Ofrecido,Pregrado,Ingeniería de Sistemas y Computación,29805 DEL 29-DIC-2017,16816 DEL 19-AGO-2016 (,2020
FI,Ofrecido,Pregrado,Ingeniería Electrónica (Diurna),04841 DEL 14-MAR-2016,,2020
12,Ofrecido,Pregrado,Ingeniería Eléctrica,08083 DEL 07-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 11956 del 16-JUN-2016),11956 DEL 16-JUN-2016,2020
34,Ofrecido,Pregrado,Ingeniería Física,08054 DEL 17-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 18212 del 13-SEP-2017),18212 DEL 13-SEP-2017,2020
TS,Ofrecido,Pregrado,Tecnología en Desarrollo de Software,149 DEL 16-ENE-2017,,2020
DV,Ofrecido,Posgrado,Doctorado en Ingeniería,012606 DEL 03-AGO-2018,,2020
AT,Ofrecido,Posgrado,Especialización en Electrónica Digital,7436 DEL 14-JUN-2013 (RC con fecha de finalización extendida por decreto 1330 de 2019),,2020
AZ,Ofrecido,Posgrado,Especialización en Redes de Datos,7437 DEL 14-JUN-2013 (RC con fecha de finalización extendida por decreto 1330 de 2019),,2020
AY,Ofrecido,Posgrado,Maestría en Ingeniería de Sistemas y Computación,08435 DEL 28-ABR-2016,,2020
47,Ofrecido,Posgrado,Maestría en Ingeniería Eléctrica,009944 DEL 17-JUN-2020,3229 DEL 05-ABR-2013,2020
28,Ofrecido,Pregrado,Ingeniería de Sistemas y Computación,29805 DEL 29-DIC-2017,16816 DEL 19-AGO-2016,2019
FI,Ofrecido,Pregrado,Ingeniería Electrónica (Diurna),04841 DEL 14-MAR-2016,,2019
12,Ofrecido,Pregrado,Ingeniería Eléctrica,08083 DEL 07-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 11956 del 16-JUN-2016),11956 DEL 16-JUN-2016,2019
34,Ofrecido,Pregrado,Ingeniería Física,08054 DEL 17-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 18212 del 13-SEP-2017),18212 DEL 13-SEP-2017,2019
TS,Ofrecido,Pregrado,Tecnología en Desarrollo de Software,149 DEL 16-ENE-2017,,2019
DV,Ofrecido,Posgrado,Doctorado en Ingeniería,012606 DEL 03-AGO-2018,,2019
AT,Ofrecido,Posgrado,Especialización en Electrónica Digital,7436 DEL 14-JUN-2013,,2019
AZ,Ofrecido,Posgrado,Especialización en Redes de Datos,7437 DEL 14-JUN-2013,,2019
AY,Ofrecido,Posgrado,Maestría en Ingeniería de Sistemas y Computación,08435 DEL 28-ABR-2016,,2019
47,Ofrecido,Posgrado,Maestría en Ingeniería Eléctrica,5348 DEL 10-MAY-2013,3229 DEL 05-ABR-2013,2019
28,Ofrecido,Pregrado,Ingeniería de Sistemas y Computación,29805 DEL 29-DIC-2017,16816 DEL 19-AGO-2016,2018
FI,Ofrecido,Pregrado,Ingeniería Electrónica (Diurna),04841 DEL 14-MAR-2016,,2018
12,Ofrecido,Pregrado,Ingeniería Eléctrica,08083 DEL 07-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 11956 del 16-JUN-2016),11956 DEL 16-JUN-2016,2018
34,Ofrecido,Pregrado,Ingeniería Física,08054 DEL 17-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 18212 del 13-SEP-2017),18212 DEL 13-SEP-2017,2018
DV,Ofrecido,Posgrado,Doctorado en Ingeniería,012606 DEL 03-AGO-2018,,2018
AZ,Ofrecido,Posgrado,Especialización en Redes de Datos,7437 DEL 14-JUN-2013,,2018
