Programa,Semestre,Femenino,Masculino,Total
Doctorado en Ingeniería,2021-1,,1,1
Especialización en Electrónica Digital,2021-1,,1,1
Maestría en Ingeniería Eléctrica,2021-1,1,6,7
Maestría en Ingeniería de Sistemas y Computación,2021-1,1,4,5
Doctorado en Ingeniería,2021-2,,1,1
Maestría en Ingeniería Eléctrica,2021-2,,4,4
Maestría en Ingeniería de Sistemas y Computación,2021-2,,4,4
Doctorado en Ingeniería,2020-1,,2,2
Maestría en Ingeniería Eléctrica,2020-1,1,,1
Maestría en Ingeniería de Sistemas y Computación,2020-1,,7,7
Doctorado en Ingeniería,2020-2,,6,6
Maestría en Ingeniería Eléctrica,2020-2,2,17,19
Maestría en Ingeniería de Sistemas y Computación,2020-2,,2,2
Doctorado en Ingeniería,2019-1,,3,3
Especialización en Redes de Datos,2019-1,,1,1
Maestría en Ingeniería Eléctrica,2019-1,1,9,10
Maestría en Ingeniería de Sistemas y Computación,2019-1,2,8,10
Doctorado en Ingeniería,2019-2,1,4,5
Especialización en Redes de Datos,2019-2,,9,9
Maestría en Ingeniería Eléctrica,2019-2,1,16,17
Maestría en Ingeniería de Sistemas y Computación,2019-2,1,,1
Especialización en Redes de Datos,2018-1,,1,1
Maestría en Ingeniería Eléctrica,2018-1,,4,4
Maestría en Ingeniería de Sistemas y Computación,2018-1,1,8,9
Doctorado en Ingeniería,2018-2,,5,5
Maestría en Ingeniería Eléctrica,2018-2,2,12,14
Maestría en Ingeniería de Sistemas y Computación,2018-2,4,5,9
Especialización en Redes de Datos,2017-1,,4,4
Maestría en Ingeniería Eléctrica,2017-1,,3,3
Maestría en Ingeniería de Sistemas y Computación,2017-1,1,4,5
Doctorado en Ingeniería,2017-2,,4,4
Maestría en Ingeniería Eléctrica,2017-2,2,9,11
Maestría en Ingeniería de Sistemas y Computación,2017-2,2,10,12
Maestría en Ingeniería Eléctrica,2016-1,3,1,4
Doctorado en Ingeniería,2016-2,1,,1
Maestría en Ingeniería Eléctrica,2016-2,2,8,10
Maestría en Ingeniería de Sistemas y Computación,2016-2,,3,3
Maestría en Ingeniería Eléctrica,2015-1,1,2,3
Maestría en Ingeniería de Sistemas y Computación,2015-1,1,1,2
Especialización en Redes de Datos,2015-2,1,6,7
Maestría en Ingeniería Eléctrica,2015-2,3,18,21
Maestría en Ingeniería de Sistemas y Computación,2015-2,1,6,7
Especialización en Redes de Datos,2014-1,1,3,4
Maestría en Ingeniería Eléctrica,2014-1,3,7,10
Maestría en Ingeniería de Sistemas y Computación,2014-1,1,2,3
Especialización en Electrónica Digital,2014-2,,1,1
Especialización en Redes de Datos,2014-2,,2,2
Maestría en Ingeniería Eléctrica,2014-2,2,11,13
Maestría en Ingeniería de Sistemas y Computación,2014-2,,2,2
Especialización en Redes de Datos,2013-1,,2,2
Maestría en Ingeniería Eléctrica,2013-1,,6,6
Especialización en Electrónica Digital,2013-2,1,4,5
Especialización en Redes de Datos,2013-2,,4,4
Maestría en Ingeniería Eléctrica,2013-2,2,16,18
Maestría en Ingeniería de Sistemas y Computación,2013-2,,3,3
Maestría en Ingeniería Eléctrica,2012-1,,2,2
Maestría en Ingeniería Eléctrica,2012-2,,9,9
Especialización en Redes de Datos,2011-2,1,2,3
Maestría en Ingeniería Eléctrica,2011-2,,6,6
Maestría en Ingeniería Eléctrica,2010-1,1,5,6
Maestría en Ingeniería Eléctrica,2010-2,,2,2
,,,,0
