Programa,Semestre,MenorA17,Edad18,Edad19,MenorA17,Edad20,Edad21,Edad22,Edad23,Edad24,Edad25,MayorA26MenorA31,MayorA31,Total
Ingeniería Electrónica (Nocturno),2021-1,,,,,,,,,,,2,1,3
Ingeniería Eléctrica,2021-1,,,,,,,4,5,2,5,8,2,26
Ingeniería Física,2021-1,,,,,,2,1,,1,,3,,7
Ingeniería de Sistemas y Computación,2021-1,,,,,,1,,2,1,2,1,1,8
Ingeniería de Sistemas y Computación (Nocturno),2021-1,,,,,,,1,,,,,2,3
Ingeniería Electrónica (Nocturno),2021-2,,,,,,,3,4,4,2,3,1,17
Ingeniería Eléctrica,2021-2,,,,,1,,3,2,4,1,5,1,17
Ingeniería Física,2021-2,,,,,,,1,3,,,1,,5
Ingeniería de Sistemas y Computación,2021-2,,,,,1,1,7,7,3,3,3,3,28
Ingeniería de Sistemas y Computación (Nocturno),2021-2,,,,,,,,,,1,1,1,3
Ingeniería Electrónica (Nocturno),2020-1,,,,,,,,,2,,4,,6
Ingeniería Eléctrica,2020-1,,,,,,,1,4,3,7,8,2,25
Ingeniería Física,2020-1,,,,,,,2,2,2,1,5,1,13
Ingeniería de Sistemas y Computación,2020-1,,,,,,,,9,3,2,6,2,22
Ingeniería de Sistemas y Computación (Nocturno),2020-1,,,,,,,,,1,1,,1,3
Ingeniería Electrónica (Diurna),2020-2,,,,,,,1,,1,,,,2
Ingeniería Electrónica (Nocturno),2020-2,,,,,,,,4,4,,5,6,19
Ingeniería Eléctrica,2020-2,,,,,,,7,18,15,18,28,6,92
Ingeniería Física,2020-2,,,,,,4,13,16,4,3,7,4,51
Ingeniería de Sistemas y Computación,2020-2,,,,,,7,17,11,12,9,16,1,73
Ingeniería de Sistemas y Computación (Nocturno),2020-2,,,,,,,,3,1,3,8,8,23
Ingeniería Electrónica (Nocturno),2019-1,,,,,,,,,1,3,5,1,10
Ingeniería Eléctrica,2019-1,,,,,,,,1,7,9,40,11,68
Ingeniería Física,2019-1,,,,,,,,,3,6,3,1,13
Ingeniería de Sistemas y Computación,2019-1,,,,,,,1,2,2,1,9,2,17
Ingeniería de Sistemas y Computación (Nocturno),2019-1,,,,,,,,,,2,2,1,5
Ingeniería Electrónica (Nocturno),2019-2,,,,,,,,1,1,1,3,2,8
Ingeniería Eléctrica,2019-2,,,,,,,1,14,11,20,42,16,104
Ingeniería Física,2019-2,,,,,,,,5,6,3,2,1,17
Ingeniería de Sistemas y Computación,2019-2,,,,,,,1,12,15,15,17,3,63
Ingeniería de Sistemas y Computación (Nocturno),2019-2,,,,,,,,,1,1,8,5,15
Ingeniería Electrónica (Nocturno),2018-1,,,,,,,,,,1,4,4,9
Ingeniería Eléctrica,2018-1,,,,,,,,,,6,23,7,36
Ingeniería Física,2018-1,,,,,,,,,1,5,1,1,8
Ingeniería de Sistemas y Computación,2018-1,,,,,,,,,1,6,17,2,26
Ingeniería de Sistemas y Computación (Nocturno),2018-1,,,,,,,,,,,1,3,4
Ingeniería Electrónica (Nocturno),2018-2,,,,,,,,,1,1,11,6,19
Ingeniería Eléctrica,2018-2,,,,,,,,,8,15,44,12,79
Ingeniería Física,2018-2,,,,,,,,,3,11,10,,24
Ingeniería de Sistemas y Computación,2018-2,,,,,,,,6,15,11,28,4,64
Ingeniería de Sistemas y Computación (Nocturno),2018-2,,,,,,,,,,2,3,7,12
Ingeniería Eléctrica,2017-1,,,,,,,,,,1,10,11,22
