Programa,Semestre,Estrato0,EstratoI,EstratoII,EstratoIII,EstratoIV,EstratoV,EstratoVI,Total
Ingeniería Electrónica (Nocturno),2021-1,,,2,,1,,,3
Ingeniería Eléctrica,2021-1,,6,11,6,2,1,,26
Ingeniería Física,2021-1,,4,2,1,,,,7
Ingeniería de Sistemas y Computación,2021-1,,3,4,1,,,,8
Ingeniería Electrónica (Nocturno),2021-2,,,4,5,6,1,1,17
Ingeniería Eléctrica,2021-2,,6,8,3,,,,17
Ingeniería Física,2021-2,,1,2,2,,,,5
Ingeniería de Sistemas y Computación,2021-2,,7,12,5,4,,,28
Ingeniería de Sistemas y Computación (Nocturno),2021-2,,1,1,1,,,,3
Ingeniería Electrónica (Nocturno),2020-1,,,3,1,2,,,6
Ingeniería Eléctrica,2020-1,,4,12,7,1,1,,25
Ingeniería Física,2020-1,,4,7,2,,,,13
Ingeniería de Sistemas y Computación,2020-1,,2,11,4,1,4,,22
Ingeniería de Sistemas y Computación (Nocturno),2020-1,,1,,,1,1,,3
Ingeniería Electrónica (Diurna),2020-2,,,,1,,1,,2
Ingeniería Electrónica (Nocturno),2020-2,,2,7,3,7,,,19
Ingeniería Eléctrica,2020-2,,17,49,18,7,1,,92
Ingeniería Física,2020-2,,12,27,9,1,1,1,51
Ingeniería de Sistemas y Computación,2020-2,,19,31,13,9,1,,73
Ingeniería de Sistemas y Computación (Nocturno),2020-2,,5,5,8,4,1,,23
Ingeniería Electrónica (Nocturno),2019-1,,,2,4,4,,,10
Ingeniería Eléctrica,2019-1,,23,24,18,3,,,68
Ingeniería Física,2019-1,,2,6,4,1,,,13
Ingeniería de Sistemas y Computación,2019-1,,5,8,3,1,,,17
Ingeniería de Sistemas y Computación (Nocturno),2019-1,,,1,3,1,,,5
Ingeniería Electrónica (Nocturno),2019-2,,,2,4,2,,,8
Ingeniería Eléctrica,2019-2,,29,38,27,9,1,,104
Ingeniería Física,2019-2,,5,7,5,,,,17
Ingeniería de Sistemas y Computación,2019-2,,10,34,16,2,,1,63
Ingeniería de Sistemas y Computación (Nocturno),2019-2,,1,5,6,2,1,,15
Ingeniería Electrónica (Nocturno),2018-1,,1,1,4,3,,,9
Ingeniería Eléctrica,2018-1,,2,19,10,4,1,,36
Ingeniería Física,2018-1,,1,3,4,,,,8
Ingeniería de Sistemas y Computación,2018-1,,2,17,4,3,,,26
Ingeniería de Sistemas y Computación (Nocturno),2018-1,,,1,2,1,,,4
Ingeniería Electrónica (Nocturno),2018-2,,,6,6,7,,,19
Ingeniería Eléctrica,2018-2,,13,40,17,6,1,2,79
Ingeniería Física,2018-2,,3,11,9,,1,,24
Ingeniería de Sistemas y Computación,2018-2,,12,21,21,9,1,,64
Ingeniería de Sistemas y Computación (Nocturno),2018-2,,2,3,5,2,,,12
Ingeniería Eléctrica,2017-1,,4,14,2,2,,,22
Ingeniería Física,2017-1,,1,6,4,,,,11
Ingeniería de Sistemas y Computación,2017-1,,1,5,8,2,,,16
Ingeniería de Sistemas y Computación (Nocturno),2017-1,,,1,1,1,,,3
Ingeniería Electrónica (Nocturno),2017-2,,1,7,7,3,1,,19
Ingeniería Eléctrica,2017-2,,12,32,22,7,3,,76
Ingeniería Física,2017-2,,5,11,5,3,2,,26
Ingeniería de Sistemas y Computación,2017-2,,7,25,14,5,3,,54
Ingeniería de Sistemas y Computación (Nocturno),2017-2,,1,5,5,1,1,,13
Ingeniería Electrónica (Nocturno),2016-1,,,4,5,2,,,11
Ingeniería Eléctrica,2016-1,,3,20,10,4,,2,39
Ingeniería Física,2016-1,,1,4,2,,,,7
Ingeniería de Sistemas y Computación,2016-1,,6,10,3,1,,,20
Ingeniería de Sistemas y Computación (Nocturno),2016-1,1,3,4,1,1,,,10
Ingeniería Electrónica (Nocturno),2016-2,,3,8,6,4,1,,22
Ingeniería Eléctrica,2016-2,,12,30,26,4,3,,75
Ingeniería Física,2016-2,,3,9,7,2,2,,23
Ingeniería de Sistemas y Computación,2016-2,,9,27,19,4,2,,61
Ingeniería de Sistemas y Computación (Nocturno),2016-2,,1,4,5,2,,,12
Ingeniería Electrónica (Nocturno),2015-1,1,1,2,5,,,,9
