Programa,Semestre,Femenino,Masculino,Total
Ingeniería Electrónica (Nocturno),2021-1,,3,3
Ingeniería Eléctrica,2021-1,6,20,26
Ingeniería Física,2021-1,4,3,7
Ingeniería de Sistemas y Computación,2021-1,,8,8
Ingeniería de Sistemas y Computación (Nocturno),2021-1,,3,3
Ingeniería Electrónica (Nocturno),2021-2,,17,17
Ingeniería Eléctrica,2021-2,5,12,17
Ingeniería Física,2021-2,2,3,5
Ingeniería de Sistemas y Computación,2021-2,8,20,28
Ingeniería de Sistemas y Computación (Nocturno),2021-2,,3,3
Ingeniería Electrónica (Nocturno),2020-1,,6,6
Ingeniería Eléctrica,2020-1,7,18,25
Ingeniería Física,2020-1,5,8,13
Ingeniería de Sistemas y Computación,2020-1,2,20,22
Ingeniería de Sistemas y Computación (Nocturno),2020-1,,3,3
Ingeniería Electrónica (Diurna),2020-2,2,,2
Ingeniería Electrónica (Nocturno),2020-2,,19,19
Ingeniería Eléctrica,2020-2,17,75,92
Ingeniería Física,2020-2,15,36,51
Ingeniería de Sistemas y Computación,2020-2,8,65,73
Ingeniería de Sistemas y Computación (Nocturno),2020-2,1,22,23
Ingeniería Electrónica (Nocturno),2019-1,6,4,10
Ingeniería Eléctrica,2019-1,20,48,68
Ingeniería Física,2019-1,8,5,13
Ingeniería de Sistemas y Computación,2019-1,2,15,17
Ingeniería de Sistemas y Computación (Nocturno),2019-1,2,3,5
Ingeniería Electrónica (Nocturno),2019-2,1,7,8
Ingeniería Eléctrica,2019-2,21,83,104
Ingeniería Física,2019-2,11,6,17
Ingeniería de Sistemas y Computación,2019-2,6,57,63
Ingeniería de Sistemas y Computación (Nocturno),2019-2,2,13,15
Ingeniería Electrónica (Nocturno),2018-1,,9,9
Ingeniería Eléctrica,2018-1,8,28,36
Ingeniería Física,2018-1,4,4,8
Ingeniería de Sistemas y Computación,2018-1,2,24,26
Ingeniería de Sistemas y Computación (Nocturno),2018-1,3,1,4
Ingeniería Electrónica (Nocturno),2018-2,2,17,19
Ingeniería Eléctrica,2018-2,16,63,79
Ingeniería Física,2018-2,11,13,24
Ingeniería de Sistemas y Computación,2018-2,11,53,64
Ingeniería de Sistemas y Computación (Nocturno),2018-2,5,7,12
Ingeniería Eléctrica,2017-1,4,18,22
Ingeniería Física,2017-1,3,8,11
Ingeniería de Sistemas y Computación,2017-1,3,13,16
Ingeniería de Sistemas y Computación (Nocturno),2017-1,1,2,3
Ingeniería Electrónica (Nocturno),2017-2,5,14,19
Ingeniería Eléctrica,2017-2,20,56,76
Ingeniería Física,2017-2,10,16,26
Ingeniería de Sistemas y Computación,2017-2,10,44,54
Ingeniería de Sistemas y Computación (Nocturno),2017-2,2,11,13
Ingeniería Electrónica (Nocturno),2016-1,2,9,11
Ingeniería Eléctrica,2016-1,10,29,39
Ingeniería Física,2016-1,6,1,7
Ingeniería de Sistemas y Computación,2016-1,1,19,20
Ingeniería de Sistemas y Computación (Nocturno),2016-1,2,8,10
Ingeniería Electrónica (Nocturno),2016-2,2,20,22
Ingeniería Eléctrica,2016-2,10,65,75
Ingeniería Física,2016-2,7,16,23
Ingeniería de Sistemas y Computación,2016-2,12,49,61
Ingeniería de Sistemas y Computación (Nocturno),2016-2,3,9,12
Ingeniería Electrónica (Nocturno),2015-1,1,8,9
Ingeniería Eléctrica,2015-1,4,15,19
Ingeniería Física,2015-1,3,3,6
Ingeniería de Sistemas y Computación,2015-1,3,20,23
Ingeniería de Sistemas y Computación (Nocturno),2015-1,2,4,6
Ingeniería Electrónica (Nocturno),2015-2,6,20,26
Ingeniería Eléctrica,2015-2,4,54,58
Ingeniería Física,2015-2,10,20,30
Ingeniería de Sistemas y Computación,2015-2,15,53,68
Ingeniería de Sistemas y Computación (Nocturno),2015-2,5,13,18
Ingeniería Electrónica (Nocturno),2014-1,7,12,19
Ingeniería Eléctrica,2014-1,4,26,30
Ingeniería Física,2014-1,8,5,13
Ingeniería de Sistemas y Computación,2014-1,7,22,29
Ingeniería de Sistemas y Computación (Nocturno),2014-1,8,9,17
Ingeniería Electrónica (Nocturno),2014-2,,9,9
Ingeniería Eléctrica,2014-2,2,11,13
Ingeniería Física,2014-2,6,5,11
Ingeniería de Sistemas y Computación,2014-2,4,25,29
Ingeniería de Sistemas y Computación (Nocturno),2014-2,5,10,15
Ingeniería Electrónica (Nocturno),2013-1,,4,4
Ingeniería Eléctrica,2013-1,2,8,10
Ingeniería Física,2013-1,1,2,3
Ingeniería de Sistemas y Computación,2013-1,5,10,15
Ingeniería de Sistemas y Computación (Nocturno),2013-1,3,4,7
Ingeniería Electrónica (Nocturno),2013-2,4,21,25
Ingeniería Eléctrica,2013-2,10,37,47
Ingeniería Física,2013-2,7,5,12
Ingeniería de Sistemas y Computación,2013-2,16,45,61
Ingeniería de Sistemas y Computación (Nocturno),2013-2,,13,13
Ingeniería Eléctrica,2012-1,3,23,26
Ingeniería Física,2012-1,4,2,6
Ingeniería de Sistemas y Computación,2012-1,6,13,19
Ingeniería de Sistemas y Computación (Nocturno),2012-1,1,1,2
Ingeniería Electrónica (Nocturno),2012-2,1,24,25
Ingeniería Eléctrica,2012-2,3,32,35
Ingeniería Física,2012-2,2,11,13
Ingeniería de Sistemas y Computación,2012-2,16,46,62
Ingeniería de Sistemas y Computación (Nocturno),2012-2,8,12,20
Ingeniería Electrónica (Nocturno),2011-1,,3,3
Ingeniería Eléctrica,2011-1,2,12,14
Ingeniería Física,2011-1,4,3,7
Ingeniería de Sistemas y Computación,2011-1,4,10,14
Ingeniería de Sistemas y Computación (Nocturno),2011-1,,1,1
Ingeniería Electrónica (Nocturno),2011-2,2,20,22
Ingeniería Eléctrica,2011-2,11,34,45
Ingeniería Física,2011-2,4,4,8
Ingeniería de Sistemas y Computación,2011-2,20,61,81
Ingeniería de Sistemas y Computación (Nocturno),2011-2,8,17,25
Ingeniería Electrónica (Nocturno),2010-1,,4,4
Ingeniería Eléctrica,2010-1,6,15,21
Ingeniería Física,2010-1,,7,7
Ingeniería de Sistemas y Computación,2010-1,8,14,22
Ingeniería Electrónica (Nocturno),2010-2,1,4,5
Ingeniería Eléctrica,2010-2,12,51,63
Ingeniería Física,2010-2,10,12,22
Ingeniería de Sistemas y Computación,2010-2,14,30,44
Ingeniería de Sistemas y Computación (Nocturno),2010-2,,2,2
