Semestre,Programa,Estrato0,EstratoI,EstratoII,EstratoIII,EstratoIV,EstratoV,EstratoVI,Total
2021-2,Doctorado en Ingeniería,,,1,4,2,1,1,9
2021-2,Especialización en Redes de Datos,2,2,4,8,4,1,,21
2021-2,Maestría en Ingeniería Eléctrica,,1,11,3,2,,1,18
2021-2,Maestría en Ingeniería de Sistemas y Computación,,,1,1,,,,2
2021-1,Doctorado en Ingeniería,,1,4,1,1,1,1,9
2021-1,Especialización en Redes de Datos,,1,,1,1,,,3
2021-1,Maestría en Ingeniería Eléctrica,2,6,9,4,2,1,,24
2021-1,Maestría en Ingeniería de Sistemas y Computación,1,3,1,6,,1,1,13
2020-1,Doctorado en Ingeniería,1,1,4,4,,,,10
2020-1,Especialización en Electrónica Digital,1,1,2,,,,,4
2020-1,Especialización en Redes de Datos,,,1,,,,,1
2020-1,Maestría en Ingeniería Eléctrica,5,9,9,2,,,,25
2020-1,Maestría en Ingeniería de Sistemas y Computación,,8,12,5,1,2,,28
2020-2,Doctorado en Ingeniería,1,,7,8,9,3,1,29
2020-2,Especialización en Electrónica Digital,,1,2,3,1,1,,8
2020-2,Especialización en Redes de Datos,1,1,4,5,2,1,,14
2020-2,Maestría en Ingeniería Eléctrica,1,4,12,20,9,,,46
2020-2,Maestría en Ingeniería de Sistemas y Computación,,1,6,4,2,1,,14
2019-1,Doctorado en Ingeniería,,,1,2,,2,,5
2019-1,Especialización en Redes de Datos,,5,11,9,2,1,,28
2019-1,Maestría en Ingeniería Eléctrica,3,5,9,2,,1,,20
2019-1,Maestría en Ingeniería de Sistemas y Computación,,3,10,2,3,1,,19
2019-2,Especialización en Electrónica Digital,3,2,4,2,,,,11
2019-2,Maestría en Ingeniería Eléctrica,1,1,4,1,,,,7
2019-2,Maestría en Ingeniería de Sistemas y Computación,2,7,6,5,2,,,22
2018-1,Maestría en Ingeniería Eléctrica,2,15,6,5,2,,,30
2018-1,Maestría en Ingeniería de Sistemas y Computación,2,9,3,6,2,,,22
2018-2,Doctorado en Ingeniería,,,2,3,,,,5
2018-2,Maestría en Ingeniería Eléctrica,1,2,5,2,,,,10
2018-2,Maestría en Ingeniería de Sistemas y Computación,1,7,6,5,4,,,23
2017-1,Doctorado en Ingeniería,,,4,3,,,,7
2017-1,Maestría en Ingeniería Eléctrica,4,6,11,3,,,,24
2017-1,Maestría en Ingeniería de Sistemas y Computación,3,8,5,8,1,1,,26
2017-2,Doctorado en Ingeniería,,,,2,,,,2
2017-2,Maestría en Ingeniería Eléctrica,,9,5,3,2,,,19
2017-2,Maestría en Ingeniería de Sistemas y Computación,,3,3,4,3,2,,15
2016-1,Doctorado en Ingeniería,,1,4,3,1,1,,10
2016-1,Maestría en Ingeniería Eléctrica,,2,5,3,2,,,12
2016-1,Maestría en Ingeniería de Sistemas y Computación,,7,7,6,4,1,,25
2016-2,Doctorado en Ingeniería,,1,1,2,1,,,5
2016-2,Maestría en Ingeniería Eléctrica,,1,,,,,,1
2016-2,Maestría en Ingeniería de Sistemas y Computación,,7,4,6,,,,17
2015-1,Doctorado en Ingeniería,,1,2,1,2,,,6
2015-1,Maestría en Ingeniería Eléctrica,,1,5,2,1,1,,10
2015-1,Maestría en Ingeniería de Sistemas y Computación,1,8,3,8,4,,,24
2015-2,Doctorado en Ingeniería,,,1,2,,,,3
2015-2,Maestría en Ingeniería Eléctrica,,1,2,4,1,,,8
2014-1,Doctorado en Ingeniería,,,1,4,1,,,6
2014-1,Maestría en Ingeniería Eléctrica,1,3,2,3,,,,9
2014-1,Maestría en Ingeniería de Sistemas y Computación,2,3,10,10,2,,,27
2014-2,Maestría en Ingeniería Eléctrica,,3,5,2,,,,10
2013-1,Doctorado en Ingeniería,,,,2,1,1,,4
2013-1,Maestría en Ingeniería Eléctrica,1,3,4,5,2,1,,16
2013-1,Maestría en Ingeniería de Sistemas y Computación,,5,4,13,4,,,26
2013-2,Doctorado en Ingeniería,,,1,4,1,,,6
2013-2,Especialización en Redes de Datos,1,1,3,9,2,,,16
2013-2,Maestría en Ingeniería Eléctrica,3,2,7,7,2,,,21
2012-1,Doctorado en Ingeniería,,,,1,1,,,2
2012-1,Especialización en Redes de Datos,,,,1,,,,1
2012-1,Maestría en Ingeniería Eléctrica,1,1,3,1,2,,,8
2012-2,Doctorado en Ingeniería,,,2,5,2,,,9
2012-2,Maestría en Ingeniería Eléctrica,,4,5,4,,,,13
2012-2,Maestría en Ingeniería de Sistemas y Computación,,3,3,10,2,,,18
2011-1,Especialización en Electrónica Digital,,1,1,,,,,2
2011-1,Especialización en Redes de Datos,1,1,,7,1,,,10
2011-1,Maestría en Ingeniería Eléctrica,,3,6,13,,,,22
2011-1,Maestría en Ingeniería de Sistemas y Computación,,1,3,2,2,1,,9
2011-2,Doctorado en Ingeniería,,,1,4,4,1,,10
2011-2,Maestría en Ingeniería Eléctrica,1,4,3,1,,,,9
2011-2,Maestría en Ingeniería de Sistemas y Computación,,3,4,9,4,1,,21
2010-1,Especialización en Electrónica Digital,,1,,,,,,1
2010-1,Especialización en Redes de Datos,,1,,,1,,,2
2010-1,Maestría en Ingeniería Eléctrica,,1,9,6,3,1,,20
2010-2,Especialización en Redes de Datos,,1,5,5,2,,,13
2010-2,Maestría en Ingeniería Eléctrica,,4,8,5,3,,,20
2010-2,Maestría en Ingeniería de Sistemas y Computación,1,8,14,9,2,,,34
