Programa,Semestre,Femenino,Masculino,Total
Doctorado en Ingeniería,2021-1,4,5,9
Especialización en Redes de Datos,2021-1,0,3,3
Maestría en Ingeniería Eléctrica,2021-1,6,18,24
Maestría en Ingeniería de Sistemas y Computación,2021-1,4,9,13
Doctorado en Ingeniería,2021-2,1,8,9
Especialización en Redes de Datos,2021-2,1,20,21
Maestría en Ingeniería Eléctrica,2021-2,3,15,18
Maestría en Ingeniería de Sistemas y Computación,2021-2,0,2,2
Doctorado en Ingeniería,2020-1,3,7,10
Especialización en Electrónica Digital,2020-1,1,3,4
Especialización en Redes de Datos,2020-1,0,1,1
Maestría en Ingeniería Eléctrica,2020-1,3,22,25
Maestría en Ingeniería de Sistemas y Computación,2020-1,3,25,28
Doctorado en Ingeniería,2020-2,2,27,29
Especialización en Electrónica Digital,2020-2,2,6,8
Especialización en Redes de Datos,2020-2,0,14,14
Maestría en Ingeniería Eléctrica,2020-2,5,41,46
Maestría en Ingeniería de Sistemas y Computación,2020-2,2,12,14
Doctorado en Ingeniería,2019-1,0,5,5
Especialización en Redes de Datos,2019-1,1,27,28
Maestría en Ingeniería Eléctrica,2019-1,5,15,20
Maestría en Ingeniería de Sistemas y Computación,2019-1,4,15,19
Especialización en Electrónica Digital,2019-2,1,10,11
Maestría en Ingeniería Eléctrica,2019-2,2,5,7
Maestría en Ingeniería de Sistemas y Computación,2019-2,7,15,22
Maestría en Ingeniería Eléctrica,2018-1,5,25,30
Maestría en Ingeniería de Sistemas y Computación,2018-1,6,16,22
Doctorado en Ingeniería,2018-2,0,5,5
Maestría en Ingeniería Eléctrica,2018-2,2,8,10
Maestría en Ingeniería de Sistemas y Computación,2018-2,1,22,23
Doctorado en Ingeniería,2017-1,1,6,7
Maestría en Ingeniería Eléctrica,2017-1,2,22,24
Maestría en Ingeniería de Sistemas y Computación,2017-1,8,18,26
Doctorado en Ingeniería,2017-2,0,2,2
Maestría en Ingeniería Eléctrica,2017-2,1,18,19
Maestría en Ingeniería de Sistemas y Computación,2017-2,4,11,15
Doctorado en Ingeniería,2016-1,0,10,10
Maestría en Ingeniería Eléctrica,2016-1,1,11,12
Maestría en Ingeniería de Sistemas y Computación,2016-1,7,18,25
Doctorado en Ingeniería,2016-2,1,4,5
Maestría en Ingeniería Eléctrica,2016-2,0,1,1
Maestría en Ingeniería de Sistemas y Computación,2016-2,3,14,17
Doctorado en Ingeniería,2015-1,1,5,6
Maestría en Ingeniería Eléctrica,2015-1,2,8,10
Maestría en Ingeniería de Sistemas y Computación,2015-1,4,20,24
Doctorado en Ingeniería,2015-2,0,3,3
Maestría en Ingeniería Eléctrica,2015-2,2,6,8
Doctorado en Ingeniería,2014-1,0,6,6
Maestría en Ingeniería Eléctrica,2014-1,1,8,9
Maestría en Ingeniería de Sistemas y Computación,2014-1,8,19,27
Maestría en Ingeniería Eléctrica,2014-2,0,10,10
Doctorado en Ingeniería,2013-1,1,3,4
Maestría en Ingeniería Eléctrica,2013-1,1,14,15
Maestría en Ingeniería de Sistemas y Computación,2013-1,4,22,26
Doctorado en Ingeniería,2013-2,0,6,6
Especialización en Redes de Datos,2013-2,1,15,16
Maestría en Ingeniería Eléctrica,2013-2,6,15,21
Doctorado en Ingeniería,2012-1,0,2,2
Especialización en Redes de Datos,2012-1,0,1,1
Maestría en Ingeniería Eléctrica,2012-1,2,6,8
Doctorado en Ingeniería,2012-2,0,9,9
Maestría en Ingeniería Eléctrica,2012-2,2,11,13
Maestría en Ingeniería de Sistemas y Computación,2012-2,2,16,18
Especialización en Electrónica Digital,2011-1,0,2,2
Especialización en Redes de Datos,2011-1,5,5,10
Maestría en Ingeniería Eléctrica,2011-1,2,20,22
Maestría en Ingeniería de Sistemas y Computación,2011-1,1,8,9
Doctorado en Ingeniería,2011-2,2,8,10
Maestría en Ingeniería Eléctrica,2011-2,0,9,9
Maestría en Ingeniería de Sistemas y Computación,2011-2,5,16,21
Especialización en Electrónica Digital,2010-1,0,1,1
Especialización en Redes de Datos,2010-1,1,1,2
Maestría en Ingeniería Eléctrica,2010-1,2,18,20
Especialización en Redes de Datos,2010-2,0,13,13
Maestría en Ingeniería Eléctrica,2010-2,2,18,20
Maestría en Ingeniería de Sistemas y Computación,2010-2,10,24,34
