Programa,Semestre,Na,Oficial,Privado,Total
Ingeniería Electrónica (Diurna),2021-1,4,81,15,100
Ingeniería Eléctrica,2021-1,5,178,22,205
Ingeniería Física,2021-1,3,115,21,139
Ingeniería de Sistemas y Computación,2021-1,9,585,96,690
Ingeniería de Sistemas y Computación (Nocturno),2021-1,4,70,12,86
Tecnología en Desarrollo de Software,2021-1,3,42,9,54
Ingeniería Electrónica (Diurna),2021-2,2,39,10,51
Ingeniería Eléctrica,2021-2,,86,16,102
Ingeniería Física,2021-2,1,40,12,53
Ingeniería de Sistemas y Computación,2021-2,4,256,49,309
Ingeniería de Sistemas y Computación (Nocturno),2021-2,1,45,19,65
Tecnología en Desarrollo de Software,2021-2,2,33,9,44
Ingeniería Electrónica (Diurna),2020-1,0,51,16,67
Ingeniería Eléctrica,2020-1,0,160,24,184
Ingeniería Física,2020-1,0,67,11,78
Ingeniería de Sistemas y Computación,2020-1,1,239,36,276
Ingeniería de Sistemas y Computación (Nocturno),2020-1,1,61,12,74
Tecnología en Desarrollo de Software,2020-1,2,37,4,43
Ingeniería Electrónica (Diurna),2020-2,8,58,18,84
Ingeniería Eléctrica,2020-2,1,82,10,93
Ingeniería Física,2020-2,2,46,10,58
Ingeniería de Sistemas y Computación,2020-2,2,157,65,224
Ingeniería de Sistemas y Computación (Nocturno),2020-2,6,68,15,89
Tecnología en Desarrollo de Software,2020-2,8,40,9,57
Ingeniería Electrónica (Diurna),2019-1,0,70,15,85
Ingeniería Eléctrica,2019-1,1,152,21,174
Ingeniería Física,2019-1,0,84,20,104
Ingeniería de Sistemas y Computación,2019-1,3,230,59,292
Ingeniería de Sistemas y Computación (Nocturno),2019-1,1,64,11,76
Tecnología en Desarrollo de Software,2019-1,3,24,5,32
Ingeniería Electrónica (Diurna),2019-2,1,26,17,44
Ingeniería Eléctrica,2019-2,1,79,15,95
Ingeniería Física,2019-2,0,40,17,57
Ingeniería de Sistemas y Computación,2019-2,0,133,23,156
Ingeniería de Sistemas y Computación (Nocturno),2019-2,3,52,6,61
Tecnología en Desarrollo de Software,2019-2,2,14,2,18
Ingeniería Electrónica (Diurna),2018-1,1,90,19,110
Ingeniería Eléctrica,2018-1,1,182,29,212
Ingeniería Física,2018-1,4,95,16,115
Ingeniería de Sistemas y Computación,2018-1,3,336,56,395
Ingeniería de Sistemas y Computación (Nocturno),2018-1,0,43,14,57
Tecnología en Desarrollo de Software,2018-1,2,44,10,56
Ingeniería Electrónica (Diurna),2018-2,1,31,14,46
Ingeniería Eléctrica,2018-2,0,83,20,103
Ingeniería Física,2018-2,0,35,14,49
Ingeniería de Sistemas y Computación,2018-2,4,140,28,172
Ingeniería de Sistemas y Computación (Nocturno),2018-2,0,16,5,21
Ingeniería Electrónica (Diurna),2017-1,0,91,23,114
Ingeniería Eléctrica,2017-1,6,216,28,250
Ingeniería Eléctrica (Básicos ingeniería),2017-1,1,25,1,27
Ingeniería Física,2017-1,4,114,17,135
Ingeniería Física (Básicos ingenieria),2017-1,,19,,19
Ingeniería de Sistemas y Computación,2017-1,8,332,49,389
Ingeniería de Sistemas y Computación (Básicos ingeniería),2017-1,3,43,2,48
Ingeniería de Sistemas y Computación (Convenio Cuba),2017-1,0,60,7,67
