Programa,Semestre,MenorA17,Edad18,Edad19,Edad20,Edad21,Edad22,Edad23,Edad24,Edad25,MayorA26MenorA31,MayorA31,Total
Ingeniería Electrónica (Diurna),2021-1,55,18,10,4,3,2,2,3,1,1,1,100
Ingeniería Eléctrica,2021-1,105,32,18,8,9,4,6,1,2,10,10,205
Ingeniería Física,2021-1,93,22,11,4,3,0,2,1,0,2,1,139
Ingeniería de Sistemas y Computación,2021-1,430,113,55,26,16,12,9,3,2,18,6,690
Ingeniería de Sistemas y Computación (Nocturno),2021-1,20,6,10,7,6,6,2,5,3,11,10,86
Tecnología en Desarrollo de Software,2021-1,16,10,7,6,3,4,0,0,1,5,2,54
Ingeniería Electrónica (Diurna),2021-2,24,5,7,1,3,3,1,2,1,4,0,51
Ingeniería Eléctrica,2021-2,43,16,13,11,4,5,2,1,0,4,3,102
Ingeniería Física,2021-2,21,13,6,2,1,0,2,0,1,5,2,53
Ingeniería de Sistemas y Computación,2021-2,179,43,33,15,10,6,2,2,3,13,3,309
Ingeniería de Sistemas y Computación (Nocturno),2021-2,16,5,10,7,5,4,1,0,4,8,5,65
Tecnología en Desarrollo de Software,2021-2,16,7,5,2,0,1,2,4,1,2,4,44
Ingeniería Electrónica (Diurna),2020-1,14,29,11,5,5,1,2,0,0,0,0,67
Ingeniería Eléctrica,2020-1,35,72,38,9,6,4,3,4,4,6,3,184
Ingeniería Física,2020-1,23,27,11,7,3,3,0,1,1,0,2,78
Ingeniería de Sistemas y Computación,2020-1,69,110,48,24,7,7,4,1,0,5,1,276
Ingeniería de Sistemas y Computación (Nocturno),2020-1,12,26,12,5,3,2,1,4,1,7,1,74
Tecnología en Desarrollo de Software,2020-1,5,10,5,7,5,2,0,1,3,3,2,43
Ingeniería Electrónica (Diurna),2020-2,16,22,15,6,7,4,2,1,0,5,6,84
Ingeniería Eléctrica,2020-2,10,30,16,9,4,4,4,5,1,6,4,93
Ingeniería Física,2020-2,8,21,8,4,4,3,1,3,0,5,1,58
Ingeniería de Sistemas y Computación,2020-2,53,60,45,22,8,9,7,5,2,6,7,224
Ingeniería de Sistemas y Computación (Nocturno),2020-2,8,10,9,13,8,4,5,4,3,12,13,89
Tecnología en Desarrollo de Software,2020-2,5,6,4,4,5,6,1,5,7,7,7,57
Ingeniería Electrónica (Diurna),2019-1,0,27,32,12,4,3,2,1,1,3,0,85
Ingeniería Eléctrica,2019-1,1,38,61,33,23,7,0,1,1,6,3,174
Ingeniería Física,2019-1,2,24,37,21,10,4,1,2,2,0,1,104
Ingeniería de Sistemas y Computación,2019-1,4,83,111,42,27,7,11,2,1,3,1,292
Ingeniería de Sistemas y Computación (Nocturno),2019-1,0,4,14,14,10,6,5,4,4,7,8,76
Tecnología en Desarrollo de Software,2019-1,0,4,13,8,1,1,0,0,2,3,0,32
Ingeniería Electrónica (Diurna),2019-2,1,10,15,6,2,6,0,1,2,1,0,44
Ingeniería Eléctrica,2019-2,0,15,25,22,12,7,3,1,1,6,3,95
Ingeniería Física,2019-2,3,14,16,12,6,1,0,2,2,1,0,57
Ingeniería de Sistemas y Computación,2019-2,6,43,41,31,12,5,5,6,4,2,1,156
Ingeniería de Sistemas y Computación (Nocturno),2019-2,1,5,8,5,2,7,5,3,7,10,8,61
Tecnología en Desarrollo de Software,2019-2,0,0,4,2,4,0,1,1,1,3,2,18
Ingeniería Electrónica (Diurna),2018-1,0,4,27,39,16,9,5,3,0,6,1,110
Ingeniería Eléctrica,2018-1,0,1,37,83,38,18,11,7,6,9,2,212
Ingeniería Física,2018-1,0,0,27,46,20,8,6,1,2,4,1,115
Ingeniería de Sistemas y Computación,2018-1,0,5,85,164,67,31,18,6,4,13,2,395
Ingeniería de Sistemas y Computación (Nocturno),2018-1,0,0,6,14,7,5,5,6,4,6,4,57
Tecnología en Desarrollo de Software,2018-1,0,1,7,20,14,6,1,4,1,2,0,56
Ingeniería Electrónica (Diurna),2018-2,0,0,13,9,9,1,7,2,1,2,2,46
Ingeniería Eléctrica,2018-2,0,1,23,27,20,11,6,4,4,5,2,103
Ingeniería Física,2018-2,0,1,15,19,3,8,3,0,0,0,0,49
Ingeniería de Sistemas y Computación,2018-2,0,1,44,68,19,8,12,6,3,7,4,172
Ingeniería de Sistemas y Computación (Nocturno),2018-2,0,0,2,1,3,2,0,2,3,6,2,21
Ingeniería Electrónica (Diurna),2017-1,0,0,0,33,53,12,9,2,1,4,0,114
Ingeniería Eléctrica,2017-1,0,0,6,63,81,45,25,13,6,8,3,250
