Programa,Semestre,Estrato0,EstratoI,EstratoII,EstratoIII,EstratoIV,EstratoV,EstratoVI,Total
Ingeniería Electrónica (Diurna),2021-1,4,35,32,16,6,6,1,100
Ingeniería Eléctrica,2021-1,3,85,88,21,8,0,0,205
Ingeniería Física,2021-1,5,33,66,26,8,1,0,139
Ingeniería de Sistemas y Computación,2021-1,19,202,320,119,21,6,3,690
Ingeniería de Sistemas y Computación (Nocturno),2021-1,5,27,40,11,3,0,0,86
Tecnología en Desarrollo de Software,2021-1,5,18,20,10,0,1,0,54
Ingeniería Electrónica (Diurna),2021-2,11,9,17,11,1,2,0,51
Ingeniería Eléctrica,2021-2,4,48,40,9,0,1,0,102
Ingeniería Física,2021-2,1,21,16,11,4,0,0,53
Ingeniería de Sistemas y Computación,2021-2,21,74,152,52,4,5,1,309
Ingeniería de Sistemas y Computación (Nocturno),2021-2,5,18,22,16,3,0,1,65
Tecnología en Desarrollo de Software,2021-2,4,9,19,11,1,0,0,44
Ingeniería Electrónica (Diurna),2020-2,11,23,31,14,3,1,1,84
Ingeniería Eléctrica,2020-2,3,41,38,8,2,1,0,93
Ingeniería Física,2020-2,1,18,17,16,5,1,0,58
Ingeniería de Sistemas y Computación,2020-2,5,58,88,53,9,9,2,224
Ingeniería de Sistemas y Computación (Nocturno),2020-2,10,22,37,16,4,0,0,89
Tecnología en Desarrollo de Software,2020-2,8,18,15,12,3,0,1,57
Ingeniería Electrónica (Diurna),2020-1,0,18,26,16,4,2,0,66
Ingeniería Eléctrica,2020-1,0,80,70,25,7,1,0,183
Ingeniería Física,2020-1,0,31,33,10,4,0,0,78
Ingeniería de Sistemas y Computación,2020-1,3,83,115,57,11,4,0,273
Ingeniería de Sistemas y Computación (Nocturno),2020-1,1,18,33,13,8,0,0,73
Tecnología en Desarrollo de Software,2020-1,1,12,17,12,1,0,0,43
Ingeniería Electrónica (Diurna),2019-1,0,23,40,15,5,2,0,85
Ingeniería Eléctrica,2019-1,1,71,68,25,7,2,0,174
Ingeniería Física,2019-1,0,39,45,10,7,1,2,104
Ingeniería de Sistemas y Computación,2019-1,2,75,127,59,20,9,0,292
Ingeniería de Sistemas y Computación (Nocturno),2019-1,0,17,35,18,4,2,0,76
Tecnología en Desarrollo de Software,2019-1,3,11,12,5,1,0,0,32
Ingeniería Electrónica (Diurna),2019-2,1,8,16,10,7,1,1,44
Ingeniería Eléctrica,2019-2,1,36,37,20,1,0,0,95
Ingeniería Física,2019-2,0,22,25,7,3,0,0,57
Ingeniería de Sistemas y Computación,2019-2,0,37,69,38,9,3,0,156
Ingeniería de Sistemas y Computación (Nocturno),2019-2,1,14,26,10,10,0,0,61
Tecnología en Desarrollo de Software,2019-2,1,4,6,5,2,0,0,18
Ingeniería Electrónica (Diurna),2018-1,1,41,48,13,4,1,2,110
Ingeniería Eléctrica,2018-1,1,83,95,25,6,2,0,212
Ingeniería Física,2018-1,4,47,41,21,2,0,0,115
Ingeniería de Sistemas y Computación,2018-1,1,127,170,76,15,5,1,395
Ingeniería de Sistemas y Computación (Nocturno),2018-1,0,8,26,15,4,2,2,57
Tecnología en Desarrollo de Software,2018-1,1,18,21,12,3,1,0,56
Ingeniería Electrónica (Diurna),2018-2,0,10,23,8,2,3,0,46
Ingeniería Eléctrica,2018-2,0,32,51,15,5,0,0,103
Ingeniería Física,2018-2,0,13,18,9,7,1,1,49
Ingeniería de Sistemas y Computación,2018-2,2,53,77,30,7,1,2,172
Ingeniería de Sistemas y Computación (Nocturno),2018-2,0,1,10,7,2,0,1,21
Ingeniería Electrónica (Diurna),2017-1,0,26,45,31,8,3,1,114
Ingeniería Eléctrica,2017-1,3,61,120,53,12,1,0,250
Ingeniería Eléctrica (Básicos ingeniería),2017-1,2,8,12,4,1,0,0,27
Ingeniería Física,2017-1,2,27,65,30,10,0,1,135
Ingeniería Física (Básicos ingenieria),2017-1,0,7,8,3,1,0,0,19
Ingeniería de Sistemas y Computación,2017-1,3,79,194,79,30,2,2,389
Ingeniería de Sistemas y Computación (Básicos ingeniería),2017-1,3,11,25,8,1,0,0,48
Ingeniería de Sistemas y Computación (Convenio Cuba),2017-1,1,16,30,15,5,0,0,67
Ingeniería de Sistemas y Computación (Nocturno),2017-1,2,17,38,21,3,2,0,83
Ingeniería Electrónica (Diurna),2017-2,1,9,24,9,3,1,1,48
Ingeniería Eléctrica,2017-2,0,31,45,20,1,1,0,98
Ingeniería Física,2017-2,0,19,22,12,2,1,0,56
Ingeniería de Sistemas y Computación,2017-2,2,43,75,32,15,2,0,169
Ingeniería de Sistemas y Computación (Nocturno),2017-2,0,10,20,20,6,0,1,57
Ingeniería Electrónica (Nocturno),2016-1,0,14,40,17,7,1,1,80
Ingeniería Eléctrica,2016-1,1,58,130,43,16,2,0,250
Ingeniería Física,2016-1,0,37,52,20,9,3,0,121
Ingeniería de Sistemas y Computación,2016-1,0,62,186,66,26,2,5,347
Ingeniería de Sistemas y Computación (Nocturno),2016-1,0,14,42,21,13,4,5,99
Ingeniería Electrónica (Diurna),2016-2,7,7,6,8,0,0,0,28
Ingeniería Eléctrica,2016-2,38,61,20,4,2,2,0,127
Ingeniería Eléctrica (Básicos ingeniería),2016-2,2,8,1,1,0,0,0,12
Ingeniería Física,2016-2,23,34,6,2,1,0,0,66
Ingeniería Física (Básicos ingenieria),2016-2,2,6,0,1,0,0,0,9
Ingeniería de Sistemas y Computación,2016-2,37,68,26,14,1,0,0,146
Ingeniería de Sistemas y Computación (Básicos ingeniería),2016-2,8,11,2,3,0,1,0,25
Ingeniería de Sistemas y Computación (Convenio Cuba),2016-2,9,24,4,1,1,0,0,39
Ingeniería de Sistemas y Computación (Nocturno),2016-2,15,55,18,17,1,0,0,106
Ingeniería Electrónica (Nocturno),2015-1,0,10,37,17,23,5,3,95
Ingeniería Eléctrica,2015-1,0,51,91,29,14,0,1,186
Ingeniería Física,2015-1,0,17,40,8,8,1,1,75
Ingeniería de Sistemas y Computación,2015-1,0,64,133,60,29,6,1,293
Ingeniería de Sistemas y Computación (Nocturno),2015-1,0,10,49,20,15,2,0,96
Ingeniería Electrónica (Nocturno),2015-2,0,10,18,7,5,1,0,41
Ingeniería Eléctrica,2015-2,0,28,58,20,6,2,0,114
Ingeniería de Sistemas y Computación,2015-2,0,31,74,33,14,1,0,153
Ingeniería de Sistemas y Computación (Nocturno),2015-2,0,10,21,19,7,2,2,61
Ingeniería Electrónica (Nocturno),2014-1,0,5,25,9,6,2,0,47
Ingeniería Eléctrica,2014-1,0,43,75,30,14,3,0,165
Ingeniería Física,2014-1,0,19,38,14,5,0,0,76
Ingeniería de Sistemas y Computación,2014-1,0,26,91,44,14,0,1,176
Ingeniería de Sistemas y Computación (Nocturno),2014-1,0,11,34,15,12,3,0,75
Ingeniería Electrónica (Nocturno),2014-2,8,17,8,6,1,0,0,40
Ingeniería Eléctrica,2014-2,35,54,23,7,0,0,0,119
Ingeniería de Sistemas y Computación,2014-2,27,75,24,9,1,0,0,136
Ingeniería de Sistemas y Computación (Nocturno),2014-2,9,28,16,8,0,0,0,61
Ingeniería Electrónica (Nocturno),2013-1,0,2,25,19,12,2,0,60
Ingeniería Eléctrica,2013-1,0,46,87,46,17,2,2,200
Ingeniería Física,2013-1,0,18,39,15,5,1,0,78
Ingeniería de Sistemas y Computación,2013-1,0,39,97,50,20,3,0,209
Ingeniería de Sistemas y Computación (Nocturno),2013-1,0,6,33,17,12,2,1,71
Ingeniería Electrónica (Nocturno),2013-2,0,6,19,13,10,0,1,49
Ingeniería Eléctrica,2013-2,0,24,72,22,5,1,0,124
Ingeniería de Sistemas y Computación,2013-2,0,31,66,30,15,2,0,144
Ingeniería de Sistemas y Computación (Nocturno),2013-2,0,8,22,14,6,0,0,50
Ingeniería Electrónica (Nocturno),2012-2,0,8,24,10,15,2,1,60
