Programa,Semestre,Femenino,Masculino,Total
Ingeniería Electrónica (Diurna),2021-1,16,84,100
Ingeniería Eléctrica,2021-1,32,173,205
Ingeniería Física,2021-1,48,91,139
Ingeniería de Sistemas y Computación,2021-1,109,581,690
Ingeniería de Sistemas y Computación (Nocturno),2021-1,22,64,86
Tecnología en Desarrollo de Software,2021-1,11,43,54
Ingeniería Electrónica (Diurna),2021-2,7,44,51
Ingeniería Eléctrica,2021-2,11,91,102
Ingeniería Física,2021-2,19,34,53
Ingeniería de Sistemas y Computación,2021-2,56,253,309
Ingeniería de Sistemas y Computación (Nocturno),2021-2,9,56,65
Tecnología en Desarrollo de Software,2021-2,4,40,44
Ingeniería Electrónica (Diurna),2020-1,9,58,67
Ingeniería Eléctrica,2020-1,32,152,184
Ingeniería Física,2020-1,27,51,78
Ingeniería de Sistemas y Computación,2020-1,44,232,276
Ingeniería de Sistemas y Computación (Nocturno),2020-1,11,63,74
Tecnología en Desarrollo de Software,2020-1,9,34,43
Ingeniería Electrónica (Diurna),2020-2,19,65,84
Ingeniería Eléctrica,2020-2,12,81,93
Ingeniería Física,2020-2,21,37,58
Ingeniería de Sistemas y Computación,2020-2,32,192,224
Ingeniería de Sistemas y Computación (Nocturno),2020-2,21,68,89
Tecnología en Desarrollo de Software,2020-2,14,43,57
Ingeniería Electrónica (Diurna),2019-1,16,69,85
Ingeniería Eléctrica,2019-1,19,155,174
Ingeniería Física,2019-1,38,66,104
Ingeniería de Sistemas y Computación,2019-1,39,253,292
Ingeniería de Sistemas y Computación (Nocturno),2019-1,11,65,76
Tecnología en Desarrollo de Software,2019-1,3,29,32
Ingeniería Electrónica (Diurna),2019-2,6,38,44
Ingeniería Eléctrica,2019-2,13,82,95
Ingeniería Física,2019-2,16,41,57
Ingeniería de Sistemas y Computación,2019-2,24,132,156
Ingeniería de Sistemas y Computación (Nocturno),2019-2,9,52,61
Tecnología en Desarrollo de Software,2019-2,6,12,18
Ingeniería Electrónica (Diurna),2018-1,20,90,110
Ingeniería Eléctrica,2018-1,35,177,212
Ingeniería Física,2018-1,39,76,115
Ingeniería de Sistemas y Computación,2018-1,59,336,395
Ingeniería de Sistemas y Computación (Nocturno),2018-1,10,47,57
Tecnología en Desarrollo de Software,2018-1,17,39,56
Ingeniería Electrónica (Diurna),2018-2,7,39,46
Ingeniería Eléctrica,2018-2,16,87,103
Ingeniería Física,2018-2,21,28,49
Ingeniería de Sistemas y Computación,2018-2,22,150,172
Ingeniería de Sistemas y Computación (Nocturno),2018-2,4,17,21
Ingeniería Electrónica (Diurna),2017-1,21,93,114
Ingeniería Eléctrica,2017-1,48,202,250
Ingeniería Eléctrica (Básicos ingeniería),2017-1,6,21,27
Ingeniería Física,2017-1,48,87,135
Ingeniería Física (Básicos ingenieria),2017-1,7,12,19
Ingeniería de Sistemas y Computación,2017-1,47,342,389
Ingeniería de Sistemas y Computación (Básicos ingeniería),2017-1,15,33,48
Ingeniería de Sistemas y Computación (Convenio Cuba),2017-1,18,49,67
Ingeniería de Sistemas y Computación (Nocturno),2017-1,25,58,83
Ingeniería Electrónica (Diurna),2017-2,5,43,48
Ingeniería Eléctrica,2017-2,19,79,98
Ingeniería Física,2017-2,22,34,56
Ingeniería de Sistemas y Computación,2017-2,25,144,169
Ingeniería de Sistemas y Computación (Nocturno),2017-2,7,50,57
Ingeniería Electrónica (Nocturno),2016-1,14,66,80
Ingeniería Eléctrica,2016-1,50,200,250
Ingeniería Física,2016-1,54,67,121
Ingeniería de Sistemas y Computación,2016-1,42,305,347
Ingeniería de Sistemas y Computación (Nocturno),2016-1,9,90,99
Ingeniería Electrónica (Diurna),2016-2,6,22,28
Ingeniería Eléctrica,2016-2,18,109,127
Ingeniería Eléctrica (Básicos ingeniería),2016-2,5,7,12
Ingeniería Física,2016-2,29,37,66
Ingeniería Física (Básicos ingenieria),2016-2,6,3,9
Ingeniería de Sistemas y Computación,2016-2,26,120,146
Ingeniería de Sistemas y Computación (Básicos ingeniería),2016-2,10,15,25
Ingeniería de Sistemas y Computación (Convenio Cuba),2016-2,16,23,39
Ingeniería de Sistemas y Computación (Nocturno),2016-2,22,84,106
Ingeniería Electrónica (Nocturno),2015-1,15,80,95
Ingeniería Eléctrica,2015-1,37,149,186
Ingeniería Física,2015-1,26,49,75
Ingeniería de Sistemas y Computación,2015-1,48,245,293
Ingeniería de Sistemas y Computación (Nocturno),2015-1,15,81,96
Ingeniería Electrónica (Nocturno),2015-2,4,37,41
Ingeniería Eléctrica,2015-2,13,101,114
Ingeniería de Sistemas y Computación,2015-2,24,129,153
Ingeniería de Sistemas y Computación (Nocturno),2015-2,15,46,61
Ingeniería Electrónica (Nocturno),2014-1,5,42,47
Ingeniería Eléctrica,2014-1,22,143,165
Ingeniería Física,2014-1,27,49,76
Ingeniería de Sistemas y Computación,2014-1,24,152,176
Ingeniería de Sistemas y Computación (Nocturno),2014-1,15,60,75
Ingeniería Electrónica (Nocturno),2014-2,7,33,40
Ingeniería Eléctrica,2014-2,19,100,119
Ingeniería de Sistemas y Computación,2014-2,25,111,136
Ingeniería de Sistemas y Computación (Nocturno),2014-2,15,46,61
Ingeniería Electrónica (Nocturno),2013-1,13,47,60
Ingeniería Eléctrica,2013-1,35,165,200
Ingeniería Física,2013-1,33,45,78
Ingeniería de Sistemas y Computación,2013-1,29,180,209
Ingeniería de Sistemas y Computación (Nocturno),2013-1,16,55,71
Ingeniería Electrónica (Nocturno),2013-2,10,39,49
Ingeniería Eléctrica,2013-2,28,96,124
Ingeniería de Sistemas y Computación,2013-2,21,123,144
Ingeniería de Sistemas y Computación (Nocturno),2013-2,7,43,50
Ingeniería Electrónica (Nocturno),2012-1,15,81,96
Ingeniería Eléctrica,2012-1,32,120,152
Ingeniería Física,2012-1,34,54,88
Ingeniería de Sistemas y Computación,2012-1,32,160,192
Ingeniería de Sistemas y Computación (Nocturno),2012-1,22,72,94
Ingeniería Electrónica (Nocturno),2012-2,10,50,60
Ingeniería Eléctrica,2012-2,20,105,125
Ingeniería de Sistemas y Computación,2012-2,31,108,139
Ingeniería de Sistemas y Computación (Nocturno),2012-2,21,57,78
Ingeniería Electrónica (Nocturno),2011-1,3,76,79
Ingeniería Eléctrica,2011-1,28,127,155
Ingeniería Física,2011-1,31,56,87
Ingeniería de Sistemas y Computación,2011-1,50,233,283
Ingeniería de Sistemas y Computación (Nocturno),2011-1,20,70,90
Ingeniería Electrónica (Nocturno),2011-2,10,51,61
Ingeniería Eléctrica,2011-2,23,105,128
Ingeniería de Sistemas y Computación,2011-2,40,148,188
Ingeniería de Sistemas y Computación (Nocturno),2011-2,14,71,85
Ingeniería Electrónica (Nocturno),2010-1,10,78,88
Ingeniería Eléctrica,2010-1,31,111,142
Ingeniería Física,2010-1,34,59,93
Ingeniería de Sistemas y Computación,2010-1,50,181,231
Ingeniería de Sistemas y Computación (Nocturno),2010-1,24,84,108
Ingeniería Electrónica (Nocturno),2010-2,17,52,69
Ingeniería Eléctrica,2010-2,18,87,105
Ingeniería de Sistemas y Computación,2010-2,33,140,173
Ingeniería de Sistemas y Computación (Nocturno),2010-2,16,52,68
