Semestre ,Femenino,Masculino ,Total
2022-1,3,6,
2021-2,118,588,706
2021-1,252,1071,1323
2020-2,130,585,715
2020-1,142,648,790
2019-2,84,387,471
2019-1,136,699,835
2018-2,73,356,429
2018-1,191,806,997
2017-2,83,381,464
2017-1,246,943,1189
2016-2,142,439,581
2016-1,177,767,944
2015-2,58,322,380
2015-1,148,637,785
2014-2,66,300,366
2014-1,108,479,587
2013-2,73,337,410
2013-1,132,531,663
2012-2,86,356,442
2012-1,137,496,633
2011-2,94,408,502
2011-1,140,597,737
2010-2,96,386,482
2010-1,152,533,685
