Semestre,Estrato0,EstratoI,EstratoII,EstratoIII,EstratoIV,EstratoV,EstratoVI,Total
2021-2,3,877,1337,607,185,46,20,3075
2021-1,3,857,1289,591,210,54,19,3023
2020-2,2,862,1310,633,233,58,22,3120
2020-1,1,771,1261,608,244,51,21,2957
2019-2,1,723,1205,559,233,59,20,2800
2019-1,1,717,1253,606,223,66,21,2887
2018-2,1,684,1210,615,225,62,20,2817
2018-1,1,699,1261,645,248,55,24,2933
2017-2,3,663,1260,634,270,55,24,2909
2017-1,3,642,1293,646,287,59,25,2955
2016-2,1,589,1202,595,273,60,21,2741
2016-1,1,564,1211,666,279,63,22,2806
2015-2,2,515,1174,655,301,59,14,2720
2015-1,3,489,1186,702,334,64,13,2791
2014-2,3,450,1091,694,301,64,11,2614
2014-1,4,483,1138,757,344,81,14,2821
2013-2,5,408,980,693,332,83,15,2516
2013-1,2,401,1004,725,357,86,14,2589
2012-2,3,389,935,686,336,89,17,2455
2012-1,2,371,881,730,324,86,17,2411
2011-2,2,363,876,778,372,92,19,2502
2011-1,5,321,852,791,402,101,21,2493
2010-2,3,290,765,794,398,98,19,2367
2010-1,3,285,762,857,407,91,18,2423
