Semestre,Femenino,Masculino,Total
2021-2,550,2525,3075
2021-1,558,2465,3023
2020-2,570,2550,3120
2020-1,527,2430,2957
2019-2,507,2293,2800
2019-1,510,2377,2887
2018-2,531,2286,2817
2018-1,558,2375,2933
2017-2,559,2350,2909
2017-1,587,2368,2955
2016-2,515,2226,2741
2016-1,523,2283,2806
2015-2,505,2215,2720
2015-1,540,2251,2791
2014-2,510,2104,2614
2014-1,568,2253,2821
2013-2,516,2000,2516
2013-1,529,2060,2589
2012-2,488,1967,2455
2012-1,492,1919,2411
2011-2,499,2003,2502
2011-1,497,1996,2493
2010-2,489,1878,2367
2010-1,504,1919,2423
