Programa,Semestre,MenorA17,MayorA17MenorA22,Edad22,Edad23,Edad24,Edad25,MayorA26MenorA31,MayorA31,Total
Doctorado en Ingeniería,2020-1,0,0,0,0,0,0,6,26,32
Especialización en Electrónica Digital,2020-1,0,0,0,0,2,0,1,2,5
Especialización en Redes de Datos,2020-1,0,0,0,0,1,0,0,0,1
Maestría en Ingeniería Eléctrica,2020-1,0,0,2,5,10,11,39,4,71
Maestría en Ingeniería de Sistemas y Computación,2020-1,0,0,0,4,8,9,27,37,85
Doctorado en Ingeniería,2020-2,0,0,0,0,0,0,6,26,32
Especialización en Electrónica Digital,2020-2,0,0,0,1,2,0,4,3,10
Especialización en Redes de Datos,2020-2,0,0,0,0,0,0,1,5,6
Maestría en Ingeniería Eléctrica,2020-2,0,0,3,11,8,13,46,25,106
Maestría en Ingeniería de Sistemas y Computación,2020-2,0,0,1,5,6,9,20,23,64
Especialización en Electrónica Digital,2010-1,0,0,0,0,0,0,0,7,7
Especialización en Redes de Datos,2010-1,0,0,0,0,0,0,0,15,15
Maestría en Ingeniería Eléctrica,2010-1,0,0,0,0,0,0,0,58,58
Especialización en Electrónica Digital,2010-2,0,0,0,0,0,0,0,7,7
Especialización en Redes de Datos,2010-2,0,0,0,0,0,0,0,17,17
Maestría en Ingeniería Eléctrica,2010-2,0,0,0,0,0,0,0,61,61
Maestría en Ingeniería de Sistemas y Computación,2010-2,0,0,0,0,0,0,0,25,25
Especialización en Electrónica Digital,2011-1,0,0,0,0,0,0,0,6,6
Especialización en Redes de Datos,2011-1,0,0,0,0,0,0,0,18,18
Maestría en Ingeniería Eléctrica,2011-1,0,0,0,0,0,0,0,73,73
Maestría en Ingeniería de Sistemas y Computación,2011-1,0,0,0,0,0,0,0,25,25
Doctorado en Ingeniería,2011-2,0,0,0,0,0,0,0,6,6
Especialización en Redes de Datos,2011-2,0,0,0,0,0,0,0,27,27
Maestría en Ingeniería Eléctrica,2011-2,0,0,0,0,0,0,1,54,55
Maestría en Ingeniería de Sistemas y Computación,2011-2,0,0,0,0,0,0,0,40,40
Doctorado en Ingeniería,2012-1,0,0,0,0,0,0,0,7,7
Especialización en Electrónica Digital,2012-1,0,0,0,0,0,0,0,6,6
Especialización en Redes de Datos,2012-1,0,0,0,0,0,0,0,18,18
Maestría en Ingeniería Eléctrica,2012-1,0,0,0,0,0,0,1,44,45
Doctorado en Ingeniería,2012-2,0,0,0,0,0,0,0,12,12
Especialización en Redes de Datos,2012-2,0,0,0,0,0,0,0,2,2
