Programa,Semestre,Oficial,Privado,Na,Total
Ingeniería Electrónica (Nocturno),2010-1,251,87,1,339
Ingeniería Eléctrica,2010-1,627,130,1,758
Ingeniería Física,2010-1,207,56,1,264
Ingeniería de Sistemas y Computación,2010-1,536,148,0,684
Ingeniería de Sistemas y Computación (Nocturno),2010-1,230,67,1,298
Ingeniería Electrónica (Nocturno),2010-2,262,68,1,331
Ingeniería Eléctrica,2010-2,625,132,1,758
Ingeniería Física,2010-2,175,44,1,220
Ingeniería de Sistemas y Computación,2010-2,528,134,0,662
Ingeniería de Sistemas y Computación (Nocturno),2010-2,221,64,1,286
Ingeniería Electrónica (Nocturno),2011-1,249,74,0,323
Ingeniería Eléctrica,2011-1,640,127,1,768
Ingeniería Física,2011-1,223,50,1,274
Ingeniería de Sistemas y Computación,2011-1,562,134,1,697
Ingeniería de Sistemas y Computación (Nocturno),2011-1,229,79,1,309
Ingeniería Electrónica (Nocturno),2011-2,246,82,0,328
Ingeniería Eléctrica,2011-2,676,132,0,808
Ingeniería Física,2011-2,190,37,1,228
Ingeniería de Sistemas y Computación,2011-2,569,138,0,707
Ingeniería de Sistemas y Computación (Nocturno),2011-2,241,61,1,303
Ingeniería Electrónica (Nocturno),2012-1,229,69,1,299
Ingeniería Eléctrica,2012-1,670,131,0,801
Ingeniería Física,2012-1,249,47,1,297
Ingeniería de Sistemas y Computación,2012-1,545,112,0,657
Ingeniería de Sistemas y Computación (Nocturno),2012-1,216,65,0,281
Ingeniería Electrónica (Nocturno),2012-2,224,68,0,292
Ingeniería Eléctrica,2012-2,726,143,0,869
Ingeniería Física,2012-2,207,38,1,246
Ingeniería de Sistemas y Computación,2012-2,551,108,0,659
Ingeniería de Sistemas y Computación (Nocturno),2012-2,215,64,0,279
Ingeniería Electrónica (Nocturno),2013-1,219,71,0,290
Ingeniería Eléctrica,2013-1,753,149,0,902
Ingeniería Física,2013-1,253,49,1,303
Ingeniería de Sistemas y Computación,2013-1,578,111,0,689
Ingeniería de Sistemas y Computación (Nocturno),2013-1,225,60,0,285
Ingeniería Electrónica (Nocturno),2013-2,196,68,0,264
Ingeniería Eléctrica,2013-2,774,141,0,915
Ingeniería Física,2013-2,211,37,0,248
Ingeniería de Sistemas y Computación,2013-2,566,117,0,683
Ingeniería de Sistemas y Computación (Nocturno),2013-2,218,58,0,276
Ingeniería Electrónica (Nocturno),2014-1,225,67,0,292
Ingeniería Eléctrica,2014-1,861,152,0,1.013
Ingeniería Física,2014-1,288,45,0,333
Ingeniería de Sistemas y Computación,2014-1,624,113,0,737
Ingeniería de Sistemas y Computación (Nocturno),2014-1,225,65,0,290
Ingeniería Electrónica (Nocturno),2014-2,185,52,0,237
Ingeniería Eléctrica,2014-2,837,142,0,979
Ingeniería Física,2014-2,243,37,0,280
Ingeniería de Sistemas y Computación,2014-2,598,114,0,712
Ingeniería de Sistemas y Computación (Nocturno),2014-2,206,50,0,256
Ingeniería Electrónica (Nocturno),2015-1,236,66,0,302
Ingeniería Eléctrica,2015-1,847,144,0,991
Ingeniería Física,2015-1,279,44,0,323
Ingeniería de Sistemas y Computación,2015-1,613,102,0,715
Ingeniería de Sistemas y Computación (Nocturno),2015-1,230,74,0,304
Ingeniería Electrónica (Nocturno),2015-2,229,54,0,283
Ingeniería Eléctrica,2015-2,853,144,0,997
Ingeniería Física,2015-2,263,37,0,300
Ingeniería de Sistemas y Computación,2015-2,609,101,0,710
Ingeniería de Sistemas y Computación (Nocturno),2015-2,224,69,0,293
Ingeniería Electrónica (Nocturno),2016-1,235,56,0,291
Ingeniería Eléctrica,2016-1,865,141,1,1.007
Ingeniería Física,2016-1,314,37,0,351
Ingeniería de Sistemas y Computación,2016-1,628,119,0,747
Ingeniería de Sistemas y Computación (Nocturno),2016-1,234,64,0,298
Ingeniería Electrónica (Diurna),2016-2,20,3,0,23
Ingeniería Electrónica (Nocturno),2016-2,179,47,0,226
Ingeniería Eléctrica,2016-2,847,131,1,979
Ingeniería Física,2016-2,313,39,0,352
Ingeniería de Sistemas y Computación,2016-2,620,120,0,740
Ingeniería de Sistemas y Computación (Nocturno),2016-2,241,58,0,299
Ingeniería Electrónica (Diurna),2017-1,54,14,0,68
Ingeniería Electrónica (Nocturno),2017-1,154,43,0,197
Ingeniería Eléctrica,2017-1,854,139,1,994
Ingeniería Eléctrica (Básicos ingeniería),2017-1,22,0,0,22
Ingeniería Física,2017-1,333,39,0,372
Ingeniería Física (Básicos ingenieria),2017-1,17,0,0,17
Ingeniería de Sistemas y Computación,2017-1,623,133,0,756
Ingeniería de Sistemas y Computación (Básicos ingeniería),2017-1,31,0,0,31
Ingeniería de Sistemas y Computación (Convenio Cuba),2017-1,40,6,0,46
Ingeniería de Sistemas y Computación (Nocturno),2017-1,236,54,0,290
Ingeniería Electrónica (Diurna),2017-2,62,15,0,77
Ingeniería Electrónica (Nocturno),2017-2,132,32,0,164
Ingeniería Eléctrica,2017-2,885,132,1,1.018
Ingeniería Eléctrica (Básicos ingeniería),2017-2,20,0,0,20
Ingeniería Física,2017-2,308,42,0,350
Ingeniería Física (Básicos ingenieria),2017-2,15,0,0,15
Ingeniería de Sistemas y Computación,2017-2,617,139,0,756
Ingeniería de Sistemas y Computación (Básicos ingeniería),2017-2,28,0,0,28
Ingeniería de Sistemas y Computación (Convenio Cuba),2017-2,35,6,0,41
Ingeniería de Sistemas y Computación (Nocturno),2017-2,230,48,0,278
Ingeniería Electrónica (Diurna),2018-1,98,23,0,121
Ingeniería Electrónica (Nocturno),2018-1,111,29,0,140
Ingeniería Eléctrica,2018-1,866,132,1,999
Ingeniería Eléctrica (Básicos ingeniería),2018-1,18,0,0,18
Ingeniería Física,2018-1,320,40,0,360
Ingeniería Física (Básicos ingenieria),2018-1,14,0,0,14
Ingeniería de Sistemas y Computación,2018-1,634,125,0,759
Ingeniería de Sistemas y Computación (Básicos ingeniería),2018-1,24,0,0,24
Ingeniería de Sistemas y Computación (Convenio Cuba),2018-1,34,6,0,40
Ingeniería de Sistemas y Computación (Nocturno),2018-1,220,57,0,277
Ingeniería Electrónica (Diurna),2018-2,96,29,0,125
Ingeniería Electrónica (Nocturno),2018-2,97,23,0,120
Ingeniería Eléctrica,2018-2,841,128,1,970
Ingeniería Eléctrica (Básicos ingeniería),2018-2,18,0,0,18
Ingeniería Física,2018-2,303,48,0,351
Ingeniería Física (Básicos ingenieria),2018-2,13,0,0,13
Ingeniería de Sistemas y Computación,2018-2,625,128,0,753
Ingeniería de Sistemas y Computación (Básicos ingeniería),2018-2,22,0,0,22
Ingeniería de Sistemas y Computación (Convenio Cuba),2018-2,32,5,0,37
Ingeniería de Sistemas y Computación (Nocturno),2018-2,183,48,0,231
Ingeniería Electrónica (Diurna),2019-1,146,32,0,178
Ingeniería Electrónica (Nocturno),2019-1,83,17,0,100
Ingeniería Eléctrica,2019-1,840,121,1,962
Ingeniería Física,2019-1,300,47,0,347
Ingeniería de Sistemas y Computación,2019-1,610,141,0,751
Ingeniería de Sistemas y Computación (Convenio Cuba),2019-1,32,5,0,37
Ingeniería de Sistemas y Computación (Nocturno),2019-1,231,54,0,285
Tecnología en Desarrollo de Software,2019-1,27,5,0,32
Ingeniería Electrónica (Diurna),2019-2,134,38,0,172
Ingeniería Electrónica (Nocturno),2019-2,74,14,0,88
Ingeniería Eléctrica,2019-2,814,115,1,930
Ingeniería Física,2019-2,295,53,0,348
Ingeniería de Sistemas y Computación,2019-2,604,138,0,742
Ingeniería de Sistemas y Computación (Convenio Cuba),2019-2,29,5,0,34
Ingeniería de Sistemas y Computación (Nocturno),2019-2,230,50,0,280
Tecnología en Desarrollo de Software,2019-2,20,3,0,23
Ingeniería Electrónica (Diurna),2020-1,179,46,0,225
Ingeniería Electrónica (Nocturno),2020-1,64,11,0,75
Ingeniería Eléctrica,2020-1,828,106,1,935
Ingeniería Física,2020-1,302,57,0,359
Ingeniería de Sistemas y Computación,2020-1,640,130,0,770
Ingeniería de Sistemas y Computación (Convenio Cuba),2020-1,27,4,0,31
Ingeniería de Sistemas y Computación (Nocturno),2020-1,264,54,0,318
Tecnología en Desarrollo de Software,2020-1,44,6,0,50
Ingeniería Electrónica (Diurna),2020-2,196,50,0,246
Ingeniería Electrónica (Nocturno),2020-2,47,9,0,56
Ingeniería Eléctrica,2020-2,888,110,1,999
Ingeniería Física,2020-2,313,59,0,372
Ingeniería de Sistemas y Computación,2020-2,668,145,0,813
Ingeniería de Sistemas y Computación (Convenio Cuba),2020-2,27,4,0,31
Ingeniería de Sistemas y Computación (Nocturno),2020-2,289,56,0,345
Tecnología en Desarrollo de Software,2020-2,36,4,0,40
Ingeniería Electrónica (Diurna),2021-1,235,54,0,289
Ingeniería Electrónica (Nocturno),2021-1,40,7,0,47
Ingeniería Eléctrica,2021-1,846,102,1,949
Ingeniería Física,2021-1,294,53,0,347
Ingeniería de Sistemas y Computación,2021-1,652,147,0,799
Ingeniería de Sistemas y Computación (Convenio Cuba),2021-1,26,4,0,30
Ingeniería de Sistemas y Computación (Nocturno),2021-1,278,55,0,333
Tecnología en Desarrollo de Software,2021-1,26,2,0,28
Ingeniería Electrónica (Diurna),2021-2,245,57,0,302
Ingeniería Electrónica (Nocturno),2021-2,31,4,0,35
Ingeniería Eléctrica,2021-2,864,102,0,966
Ingeniería Física,2021-2,291,53,0,344
Ingeniería de Sistemas y Computación,2021-2,675,153,0,828
Ingeniería de Sistemas y Computación (Convenio Cuba),2021-2,25,4,0,29
Ingeniería de Sistemas y Computación (Nocturno),2021-2,324,67,0,391
Tecnología en Desarrollo de Software,2021-2,60,6,0,66
