Programa,Semestre,Femenino,Masculino,Total
Ingeniería Electrónica (Nocturno),2010-1,49,290,339
Ingeniería Eléctrica,2010-1,129,629,758
Ingeniería Física,2010-1,112,152,264
Ingeniería de Sistemas y Computación,2010-1,129,555,684
Ingeniería de Sistemas y Computación (Nocturno),2010-1,70,228,298
Ingeniería Electrónica (Nocturno),2010-2,50,281,331
Ingeniería Eléctrica,2010-2,126,632,758
Ingeniería Física,2010-2,96,124,220
Ingeniería de Sistemas y Computación,2010-2,128,534,662
Ingeniería de Sistemas y Computación (Nocturno),2010-2,72,214,286
Ingeniería Electrónica (Nocturno),2011-1,42,281,323
Ingeniería Eléctrica,2011-1,129,639,768
Ingeniería Física,2011-1,113,161,274
Ingeniería de Sistemas y Computación,2011-1,121,576,697
Ingeniería de Sistemas y Computación (Nocturno),2011-1,77,232,309
Ingeniería Electrónica (Nocturno),2011-2,52,276,328
Ingeniería Eléctrica,2011-2,132,676,808
Ingeniería Física,2011-2,93,135,228
Ingeniería de Sistemas y Computación,2011-2,131,576,707
Ingeniería de Sistemas y Computación (Nocturno),2011-2,72,231,303
Ingeniería Electrónica (Nocturno),2012-1,40,259,299
Ingeniería Eléctrica,2012-1,142,659,801
Ingeniería Física,2012-1,127,170,297
Ingeniería de Sistemas y Computación,2012-1,114,543,657
Ingeniería de Sistemas y Computación (Nocturno),2012-1,63,218,281
Ingeniería Electrónica (Nocturno),2012-2,42,250,292
Ingeniería Eléctrica,2012-2,154,715,869
Ingeniería Física,2012-2,103,143,246
Ingeniería de Sistemas y Computación,2012-2,111,548,659
Ingeniería de Sistemas y Computación (Nocturno),2012-2,63,216,279
Ingeniería Electrónica (Nocturno),2013-1,44,246,290
Ingeniería Eléctrica,2013-1,164,738,902
Ingeniería Física,2013-1,134,169,303
Ingeniería de Sistemas y Computación,2013-1,109,580,689
Ingeniería de Sistemas y Computación (Nocturno),2013-1,65,220,285
Ingeniería Electrónica (Nocturno),2013-2,44,220,264
Ingeniería Eléctrica,2013-2,169,746,915
Ingeniería Física,2013-2,108,140,248
Ingeniería de Sistemas y Computación,2013-2,102,581,683
Ingeniería de Sistemas y Computación (Nocturno),2013-2,70,206,276
Ingeniería Electrónica (Nocturno),2014-1,45,247,292
Ingeniería Eléctrica,2014-1,186,827,1.013
Ingeniería Física,2014-1,131,202,333
Ingeniería de Sistemas y Computación,2014-1,107,630,737
Ingeniería de Sistemas y Computación (Nocturno),2014-1,71,219,290
Ingeniería Electrónica (Nocturno),2014-2,33,204,237
Ingeniería Eléctrica,2014-2,173,806,979
Ingeniería Física,2014-2,113,167,280
Ingeniería de Sistemas y Computación,2014-2,101,611,712
Ingeniería de Sistemas y Computación (Nocturno),2014-2,63,193,256
Ingeniería Electrónica (Nocturno),2015-1,47,255,302
Ingeniería Eléctrica,2015-1,186,805,991
Ingeniería Física,2015-1,115,208,323
Ingeniería de Sistemas y Computación,2015-1,103,612,715
Ingeniería de Sistemas y Computación (Nocturno),2015-1,66,238,304
Ingeniería Electrónica (Nocturno),2015-2,37,246,283
Ingeniería Eléctrica,2015-2,180,817,997
Ingeniería Física,2015-2,109,191,300
Ingeniería de Sistemas y Computación,2015-2,96,614,710
Ingeniería de Sistemas y Computación (Nocturno),2015-2,62,231,293
