Semestre,Estrato0,EstratoI,EstratoII,EstratoIII,EstratoIV,EstratoV,EstratoVI,Total
2021-2,1,122,158,82,14,7,5,389
2021-1,2,122,174,57,20,8,1,384
2020-2,1,106,135,77,24,11,3,357
2020-1,0,120,176,93,36,4,4,433
2019-2,0,93,123,65,30,3,1,315
2019-1,0,126,180,88,25,13,5,437
2018-2,0,71,118,55,21,7,3,275
2018-1,0,90,164,81,29,9,2,375
2017-2,0,75,123,75,28,7,2,310
2017-1,2,112,215,120,44,5,3,501
2016-2,0,89,165,53,36,6,1,350
2016-1,1,96,193,97,39,15,11,452
2015-2,0,59,105,55,25,5,2,251
2015-1,0,74,194,65,60,14,3,410
2014-2,0,54,114,56,21,1,0,246
2014-1,0,78,164,83,38,7,1,371
2013-2,0,30,69,49,28,5,0,181
2013-1,0,53,166,103,51,9,4,386
2012-2,0,64,125,52,51,9,1,302
2012-1,0,59,159,112,49,17,5,401
2011-2,0,73,116,76,37,10,3,315
2011-1,0,69,155,100,56,12,5,397
2010-2,0,50,133,78,48,11,2,322
2010-1,0,67,142,123,50,11,4,397
