ID,Semestre,Inscrito,Primer curso,Matriculado,Graduado,Programa 
1,2021-2,9,,,1,Doctorado en Ingeniería
2,2021-1,9,2,32,1,Doctorado en Ingeniería
3,2020-2,29,3,32,6,Doctorado en Ingeniería
4,2020-1,10,5,32,2,Doctorado en Ingeniería
5,2019-2,,,34,5,Doctorado en Ingeniería
6,2019-1,5,4,36,3,Doctorado en Ingeniería
7,2018-2,5,4,35,5,Doctorado en Ingeniería
8,2018-1,,,37,,Doctorado en Ingeniería
9,2017-2,2,2,37,4,Doctorado en Ingeniería
10,2017-1,7,4,39,,Doctorado en Ingeniería
11,2016-2,5,4,36,1,Doctorado en Ingeniería
12,2016-1,10,10,34,,Doctorado en Ingeniería
13,2015-2,3,2,26,,Doctorado en Ingeniería
14,2015-1,6,4,26,,Doctorado en Ingeniería
15,2014-2,,,23,,Doctorado en Ingeniería
16,2014-1,6,6,24,,Doctorado en Ingeniería
17,2013-2,6,2,18,,Doctorado en Ingeniería
18,2013-1,4,3,15,,Doctorado en Ingeniería
19,2012-2,9,5,12,,Doctorado en Ingeniería
20,2012-1,2,1,7,,Doctorado en Ingeniería
21,2011-2,10,6,6,,Doctorado en Ingeniería
22,2021-1,,,,1,Especialización en Electrónica Digital
23,2020-2,8,5,10,,Especialización en Electrónica Digital
24,2020-1,4,,5,,Especialización en Electrónica Digital
25,2019-2,11,5,5,,Especialización en Electrónica Digital
26,2014-2,,,,1,Especialización en Electrónica Digital
27,2013-2,,,,5,Especialización en Electrónica Digital
28,2013-1,,,6,,Especialización en Electrónica Digital
29,2012-1,,,6,,Especialización en Electrónica Digital
30,2011-1,2,,6,,Especialización en Electrónica Digital
31,2010-2,,,7,,Especialización en Electrónica Digital
32,2010-1,1,1,7,,Especialización en Electrónica Digital
33,2021-2,21,3,4,,Especialización en Redes de Datos
34,2021-1,3,,6,,Especialización en Redes de Datos
35,2020-2,14,6,6,,Especialización en Redes de Datos
36,2020-1,1,1,1,,Especialización en Redes de Datos
37,2019-2,,,9,9,Especialización en Redes de Datos
38,2019-1,28,8,8,1,Especialización en Redes de Datos
39,2018-1,,,4,1,Especialización en Redes de Datos
40,2017-1,,,6,4,Especialización en Redes de Datos
41,2016-2,1,,,,Especialización en Redes de Datos
42,2015-2,,,,7,Especialización en Redes de Datos
43,2015-1,,,7,,Especialización en Redes de Datos
44,2014-2,,,10,2,Especialización en Redes de Datos
45,2014-1,,,9,4,Especialización en Redes de Datos
46,2013-2,16,7,10,4,Especialización en Redes de Datos
47,2013-1,,,7,2,Especialización en Redes de Datos
48,2012-2,,,2,,Especialización en Redes de Datos
49,2012-1,1,,18,,Especialización en Redes de Datos
50,2011-2,,,27,3,Especialización en Redes de Datos
51,2011-1,10,1,18,,Especialización en Redes de Datos
52,2010-2,13,11,17,,Especialización en Redes de Datos
53,2010-1,2,,15,,Especialización en Redes de Datos
54,2021-2,51,15,72,,Ingeniería Electrónica (Diurna)
55,2021-1,100,75,289,,Ingeniería Electrónica (Diurna)
56,2020-2,84,35,246,2,Ingeniería Electrónica (Diurna)
57,2020-1,67,59,225,,Ingeniería Electrónica (Diurna)
58,2019-2,44,27,172,,Ingeniería Electrónica (Diurna)
59,2019-1,85,80,178,,Ingeniería Electrónica (Diurna)
60,2018-2,46,28,125,,Ingeniería Electrónica (Diurna)
61,2018-1,110,59,121,,Ingeniería Electrónica (Diurna)
62,2017-2,48,29,77,,Ingeniería Electrónica (Diurna)
63,2017-1,114,53,68,,Ingeniería Electrónica (Diurna)
64,2016-2,28,23,23,,Ingeniería Electrónica (Diurna)
65,2021-2,,,14,17,Ingeniería Electrónica (Nocturno)
66,2021-1,,,47,3,Ingeniería Electrónica (Nocturno)
67,2020-2,,,56,19,Ingeniería Electrónica (Nocturno)
68,2020-1,,,75,6,Ingeniería Electrónica (Nocturno)
69,2019-2,,,88,8,Ingeniería Electrónica (Nocturno)
70,2019-1,,,100,10,Ingeniería Electrónica (Nocturno)
71,2018-2,,,120,19,Ingeniería Electrónica (Nocturno)
