COD_PERIODO,COD_UTP,ESTUDIANTES,ESTRATO,SEXO,TIPO_INSCRIPCION,TIPO_COLEGIO,VAR,FECHA_ACTUALIZACION,FACULTAD
2010-2,36,1,V,Masculino,,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-2,37,2,III,Femenino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2011-2,AZ,1,II,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2012-1,12,3,II,Femenino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2012-1,34,1,II,Masculino,Santa Rosa De Cabal,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2012-2,47,1,VI,Masculino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2013-2,28,1,VI,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2013-2,47,2,II,Masculino,General,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2014-1,AZ,1,I,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2014-2,12,1,IV,Femenino,Belen De Umbria,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2014-2,12,51,II,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2014-2,28,2,III,Masculino,Belen De Umbria,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2015-1,28,2,III,Masculino,La Virginia,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2015-1,37,3,III,Femenino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2015-1,AY,2,III,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2015-2,37,7,III,Masculino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2016-1,12,1,III,Masculino,Desplazado,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2016-1,28,2,I,Femenino,,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2016-1,36,3,II,Masculino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2016-1,36,11,III,Masculino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2016-2,12,1,IV,Masculino,,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2017-1,28,1,IV,Masculino,La Virginia,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2017-1,28,15,II,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2017-1,36,57,II,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2017-1,FV28,1,II,Masculino,Mistrato,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2017-1,FV34,1,II,Femenino,Belen De Umbria,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2017-2,28,44,II,Masculino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2017-2,47,1,II,Masculino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2018-1,28,1,II,Masculino,Deportistas De Alto Rendimiento,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2018-1,34,1,III,Femenino,,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2018-1,34,34,I,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2018-1,37,1,II,Masculino,Santuario,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2018-1,47,2,IV,Masculino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2018-2,28C,1,V,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2018-2,34,1,II,Femenino,Comunidad Indigena,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2018-2,34,3,II,Femenino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2018-2,47,1,III,Femenino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2018-2,FV28,3,I,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2019-1,12,1,IV,Masculino,,Privado,Graduado,09/16/2021 00:00:00,Ingeniería
2019-1,AZ,1,III,Masculino,Guatica,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2019-2,28,1,V,Masculino,,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2019-2,37,1,IV,Femenino,Desplazado,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-1,28,1,V,Masculino,,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2020-1,28,13,II,Masculino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2020-2,12,3,II,Masculino,,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-2,12,11,III,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-2,28,1,V,Femenino,Risaralda,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2020-2,AY,1,II,Masculino,Deportistas De Alto Rendimiento,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2020-2,TS,1,III,Masculino,General,Privado,Cancelado,09/15/2021 00:00:00,Ingeniería
2020-2,TS,1,VI,Masculino,General,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-1,28,1,III,Femenino,Negritudes,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-1,47,1,I,Masculino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
2021-2,34,4,III,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-2,37,1,II,Masculino,Balboa,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-2,TS,2,I,Masculino,Fuera De Risaralda,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,28,1,IV,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2010-1,37,13,I,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-2,12,1,II,Femenino,La Virginia,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-1,12,2,III,Masculino,Negritudes,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-1,28,1,II,Masculino,,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2011-2,12,3,III,Masculino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2011-2,28,1,II,Femenino,Negritudes,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2011-2,28,1,III,Femenino,General,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2011-2,37,2,IV,Femenino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2018-2,12,1,I,Femenino,Negritudes,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2019-1,12,2,II,Masculino,Santa Rosa De Cabal,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2019-1,28,2,I,Femenino,Guatica,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2019-1,36,1,II,Masculino,Desplazado,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2019-1,37,71,II,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2019-2,37,1,II,Femenino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
2020-1,34,2,V,Masculino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-1,34,5,I,Femenino,Santa Rosa De Cabal,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-1,34,10,III,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-1,36,2,III,Masculino,,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-1,36,3,II,Masculino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2020-1,47,1,I,Masculino,General,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2020-2,36,1,II,Masculino,General,Privado,Graduado,09/16/2021 00:00:00,Ingeniería
2020-2,TS,1,II,Masculino,Belen De Umbria,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-1,28,1,II,Femenino,Risaralda,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-1,34,6,II,Masculino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2021-1,AY,1,III,Masculino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-1,TS,3,,Masculino,,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-2,12,1,II,Femenino,General,Privado,Graduado,09/16/2021 00:00:00,Ingeniería
2021-2,12,1,III,Masculino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2021-2,37,1,IV,Femenino,Desplazado,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-2,AZ,4,III,Masculino,General,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-2,TS,1,I,Masculino,Risaralda,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2010-1,28,6,II,Femenino,,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2010-1,34,1,I,Masculino,Negritudes,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,36,6,IV,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,37,1,I,Masculino,,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2010-1,37,1,V,Femenino,,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,AT,1,III,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-2,36,1,IV,Masculino,,Privado,Graduado,09/16/2021 00:00:00,Ingeniería
2010-2,36,11,II,Masculino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2011-1,47,2,VI,Masculino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-2,28,3,II,Masculino,Comunidad Indigena,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-2,36,1,V,Masculino,,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-2,36,3,II,Femenino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-2,AY,2,IV,Femenino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
2012-1,28,1,I,Masculino,La Virginia,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2012-1,28,1,II,Femenino,General,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2012-1,47,1,IV,Masculino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
2012-2,12,1,II,Masculino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
